"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Dota 2","58.13%","23:44","70.51%","587:48","848.65‱"
"2","Counter-Strike: Global Offensive","17.27%","12:30","16.34%","134:04","201.39‱"
"3","Grand Theft Auto V","13.09%","10:29","14.55%","119:13","178.64‱"
"4","Left 4 Dead 2","5.72%","05:16","9.45%","40:50","128.46‱"
"5","Fallout 4","3.05%","18:02","1.79%","52:13","21.9‱"
"6","The Binding of Isaac: Rebirth","2.06%","10:28","1.48%","67:07","18.25‱"
"7","Unturned","2.01%","03:15","8.65%","23:05","124.38‱"
"8","Sid Meier's Civilization V","1.72%","12:12","1.74%","52:58","24.5‱"
"9","Garry's Mod","1.72%","05:37","3.41%","44:12","43.38‱"
"10","Warframe","1.7%","21:50","5.93%","86:57","106.41‱"
"11","Borderlands 2","1.7%","10:25","1.74%","37:57","24.5‱"
"12","Don't Starve","1.65%","08:50","2.3%","20:50","32.78‱"
"13","Team Fortress 2","1.64%","03:54","10.86%","36:57","130.7‱"
"14","Terraria","1.6%","11:09","2.5%","28:28","32.99‱"
"15","PAYDAY 2","1.59%","08:35","3.27%","50:48","42.47‱"
"16","Don't Starve Together Beta","1.54%","05:08","2.57%","18:59","40.15‱"
"17","BattleBlock Theater","1.43%","02:33","2.89%","11:13","36.57‱"
"18","H1Z1","1.41%","18:36","2.18%","80:33","26.53‱"
"19","The Witcher 3: Wild Hunt","1.21%","09:13","0.94%","38:24","13.62‱"
"20","Portal 2","1.13%","03:49","2.47%","09:53","41.27‱"
"21","The Elder Scrolls V: Skyrim","1.05%","08:47","1.89%","42:18","26.11‱"
"22","HELLDIVERS","1.04%","17:11","0.37%","17:10","4.7‱"
"23","Clicker Heroes","1.02%","15:46","1.45%","48:58","22.88‱"
"24","Euro Truck Simulator 2","0.89%","06:20","1.07%","64:47","13.76‱"
"25","War Thunder","0.86%","08:25","3.33%","46:56","67.46‱"
"26","Call of Duty: Black Ops III","0.73%","08:54","0.41%","27:02","4.91‱"
"27","Tomb Raider","0.71%","05:13","1.64%","10:54","23.94‱"
"28","ARK: Survival Evolved","0.65%","27:37","1.42%","108:52","17.48‱"
"29","Hurtworld","0.65%","16:18","0.23%","16:18","2.95‱"
"30","NBA 2K16","0.6%","15:20","0.37%","80:44","4.42‱"
"31","Arma 3","0.6%","13:30","0.84%","149:16","10.25‱"
"32","NEKOPARA Vol. 1","0.58%","01:06","0.69%","04:03","9.55‱"
"33","Company of Heroes 2","0.58%","09:07","0.85%","145:06","10.81‱"
"34","Rust","0.58%","08:50","1.45%","81:33","17.48‱"
"35","Ultra Street Fighter IV","0.57%","04:43","0.69%","65:42","9.13‱"
"36","DayZ","0.55%","12:14","1.8%","124:14","21.69‱"
"37","Counter-Strike: Source","0.53%","04:41","2.23%","100:38","43.31‱"
"38","Just Cause 3","0.53%","13:53","0.2%","14:43","2.88‱"
"39","Counter-Strike","0.52%","06:34","2.08%","110:39","41.41‱"
"40","Tom Clancy's Rainbow Six Siege","0.49%","18:47","0.17%","19:23","2.18‱"
"41","Insurgency","0.47%","02:39","1.21%","11:23","16.21‱"
"42","Killing Floor 2","0.47%","04:51","0.45%","23:33","5.9‱"
"43","Dark Souls: Prepare to Die Edition","0.45%","03:44","0.61%","35:48","8.63‱"
"44","Castle Crashers","0.45%","01:13","1.91%","07:09","24.36‱"
"45","Age of Empires II: HD Edition","0.42%","01:41","0.84%","16:11","11.58‱"
"46","Portal","0.42%","01:06","1.13%","02:56","30.53‱"
"47","The Witcher 2: Assassins of Kings Enhanced Edition","0.4%","03:29","1.18%","08:15","20.99‱"
"48","BioShock Infinite","0.39%","02:48","0.65%","10:04","12.14‱"
"49","THE KING OF FIGHTERS XIII STEAM EDITION","0.39%","09:17","0.64%","74:17","7.65‱"
"50","Besiege","0.39%","02:42","0.93%","08:05","11.93‱"
