"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Dota 2","44.48%","21:19","55.91%","632:44","443.5‱"
"2","Counter-Strike: Global Offensive","13.95%","11:32","20.15%","136:21","162.46‱"
"3","Grand Theft Auto V","12.15%","12:22","15.18%","132:28","122.63‱"
"4","Left 4 Dead 2","5.52%","04:38","12.2%","38:47","105.45‱"
"5","Dead by Daylight","4.88%","16:03","3.96%","37:17","32.07‱"
"6","Unturned","3.77%","08:54","10.44%","25:53","93.29‱"
"7","Don't Starve Together Beta","3.75%","07:40","9.39%","29:38","79.7‱"
"8","Tom Clancy's Rainbow Six Siege","2.27%","13:42","1.96%","68:02","16.1‱"
"9","The Witcher 3: Wild Hunt","1.91%","07:47","2.63%","36:19","23.82‱"
"10","Warframe","1.71%","16:19","6.37%","71:34","79.12‱"
"11","Lost Castle","1.49%","05:06","1.96%","16:40","16.24‱"
"12","The Binding of Isaac: Rebirth","1.48%","08:15","1.93%","93:21","15.74‱"
"13","DARK SOULS III","1.4%","10:21","1.59%","66:21","12.92‱"
"14","PAYDAY 2","1.36%","05:52","4.63%","40:01","40.32‱"
"15","Don't Starve","1.34%","09:03","4.6%","30:02","40.95‱"
"16","Sid Meier's Civilization V","1.33%","09:02","3.58%","48:24","31.26‱"
"17","ARK: Survival Evolved","1.33%","24:19","2.31%","117:43","19.38‱"
"18","H1Z1: King of the Kill","1.3%","20:38","1.94%","86:33","24.22‱"
"19","Terraria","1.28%","07:57","3.25%","33:06","27.36‱"
"20","Team Fortress 2","1.2%","06:06","11.22%","27:33","89.03‱"
"21","Evolve","1.16%","02:16","4.81%","06:28","56.83‱"
"22","Garry's Mod","1.13%","03:50","4.14%","26:07","35.52‱"
"23","NBA 2K16","1.01%","11:05","0.78%","155:37","7.22‱"
"24","Fallout 4","0.95%","07:22","2.05%","52:00","17.09‱"
"25","Rust","0.95%","12:00","2.37%","63:27","19.6‱"
"26","Borderlands 2","0.93%","07:13","3.05%","35:27","26.96‱"
"27","The Elder Scrolls V: Skyrim","0.88%","08:06","2.6%","35:36","24.13‱"
"28","BattleBlock Theater","0.85%","01:36","3.43%","10:13","28.8‱"
"29","Insurgency","0.81%","02:43","2.09%","14:20","19.87‱"
"30","Rise of the Tomb Raider","0.79%","03:46","2.41%","20:28","19.51‱"
"31","Cities: Skylines","0.75%","07:33","1.2%","24:02","10.59‱"
"32","Mount & Blade: Warband","0.75%","07:50","1.18%","54:46","10.18‱"
"33","Starbound","0.7%","08:25","0.98%","36:12","8.25‱"
"34","War Thunder","0.69%","12:14","3.59%","51:00","46.87‱"
"35","Euro Truck Simulator 2","0.69%","05:39","1.38%","60:38","11.62‱"
"36","No Man's Sky","0.69%","04:19","0.67%","15:00","5.34‱"
"37","Tom Clancy's The Division","0.63%","05:39","2.47%","99:23","19.65‱"
"38","Portal Knights","0.59%","02:10","1.59%","10:46","13.14‱"
"39","Clicker Heroes","0.59%","09:44","2.24%","71:49","22.56‱"
"40","BrainBread 2","0.59%","00:36","0.77%","01:08","10.67‱"
"41","The Pirate: Caribbean Hunt","0.5%","00:52","0.19%","00:52","2.06‱"
"42","Titan Quest Anniversary Edition","0.49%","06:30","0.18%","06:30","4.08‱"
"43","Prison Architect","0.47%","06:40","0.87%","14:47","8.16‱"
"44","Just Cause 3","0.47%","04:20","0.89%","17:10","7.62‱"
"45","Grim Dawn","0.46%","07:15","0.84%","46:57","6.77‱"
"46","Killing Floor 2","0.46%","10:53","0.53%","43:31","4.53‱"
"47","Iron Snout","0.44%","00:12","1.16%","01:16","10.36‱"
"48","Football Manager 2016","0.43%","35:34","0.42%","244:42","3.41‱"
"49","Company of Heroes 2","0.41%","10:21","0.87%","114:16","7.8‱"
"50","Depth","0.41%","02:35","0.5%","05:00","4.66‱"
