"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Dota 2","63.95%","26:19","71.09%","568:07","970.57‱"
"2","Counter-Strike: Global Offensive","12.91%","14:04","14.26%","127:23","197.16‱"
"3","Grand Theft Auto V","12.18%","10:39","12.75%","104:23","177.65‱"
"4","Left 4 Dead 2","4.44%","06:24","7.7%","41:43","117.51‱"
"5","Unturned","3.36%","06:11","8.29%","23:54","136.04‱"
"6","Warframe","1.86%","19:52","5.33%","79:43","108.69‱"
"7","Team Fortress 2","1.44%","06:47","10.14%","37:45","138.45‱"
"8","Garry's Mod","1.36%","10:02","2.94%","35:40","42.85‱"
"9","PAYDAY 2","1.11%","07:31","2.6%","51:37","39.47‱"
"10","War Thunder","1.04%","05:30","3.3%","51:31","72.25‱"
"11","The Binding of Isaac: Rebirth","1.01%","09:08","1.08%","64:23","15.06‱"
"12","ARK: Survival Evolved","0.94%","17:41","1.3%","78:50","18.44‱"
"13","NBA 2K16","0.92%","28:23","0.35%","28:38","4.72‱"
"14","METAL GEAR SOLID V: THE PHANTOM PAIN","0.92%","21:49","0.52%","47:58","7.04‱"
"15","Don't Starve Together Beta","0.9%","04:50","1.88%","23:45","34.84‱"
"16","BattleBlock Theater","0.77%","01:44","2.44%","12:21","35.28‱"
"17","Company of Heroes 2","0.77%","10:48","0.87%","147:07","14.17‱"
"18","H1Z1","0.73%","14:49","1.73%","58:25","23.7‱"
"19","Aftermath","0.71%","03:04","0.27%","03:03","5.43‱"
"20","DayZ","0.7%","04:50","1.51%","95:27","21.03‱"
"21","The Elder Scrolls V: Skyrim","0.66%","07:56","1.63%","50:13","24.86‱"
"22","SpeedRunners","0.66%","01:23","0.69%","08:19","281.44‱"
"23","Terraria","0.64%","07:16","1.89%","26:41","27.44‱"
"24","Euro Truck Simulator 2","0.64%","03:51","0.94%","69:10","13.45‱"
"25","Tomb Raider","0.63%","03:55","1.46%","10:35","23.34‱"
"26","Clicker Heroes","0.61%","14:59","0.88%","42:09","16.93‱"
"27","Don't Starve","0.61%","04:17","1.85%","25:16","28.06‱"
"28","Counter-Strike: Source","0.54%","05:04","2.28%","139:00","45.35‱"
"29","Trove","0.52%","04:53","1.81%","05:03","32.07‱"
"30","Rust","0.5%","17:12","1.02%","80:02","14.25‱"
"31","Arma 3","0.44%","14:30","0.61%","126:23","8.46‱"
"32","Robocraft","0.44%","01:22","2.99%","12:24","56.48‱"
"33","Counter-Strike","0.42%","07:38","2.15%","110:20","45.88‱"
"34","Sid Meier's Civilization V","0.42%","13:27","0.78%","58:51","11.4‱"
"35","Cities: Skylines","0.38%","10:16","0.3%","22:59","4.63‱"
"36","Ultra Street Fighter IV","0.37%","09:13","0.49%","91:27","7.31‱"
"37","7 Days to Die","0.37%","09:11","0.55%","85:07","7.75‱"
"38","Killing Floor 2","0.35%","08:47","0.3%","34:08","6.15‱"
"39","Mount & Blade: Warband","0.35%","07:15","1.02%","38:48","16.3‱"
"40","Mad Max","0.35%","09:50","0.24%","23:07","3.3‱"
"41","No More Room in Hell","0.35%","04:32","2.03%","11:44","42.05‱"
"42","Block N Load Beta","0.35%","01:03","0.14%","01:35","4.45‱"
"43","NBA 2K15","0.35%","03:53","0.35%","189:30","4.9‱"
"44","The Witcher 3: Wild Hunt","0.33%","08:40","0.44%","45:09","6.41‱"
"45","Besiege","0.33%","01:07","0.9%","09:58","13.01‱"
"46","Insurgency","0.33%","02:34","0.98%","12:48","15.59‱"
"47","Borderlands 2","0.31%","01:53","0.93%","50:20","14.25‱"
"48","Dark Souls: Prepare to Die Edition","0.3%","12:44","0.5%","36:30","8.2‱"
"49","DARK SOULS II: Scholar of the First Sin","0.3%","08:48","0.37%","62:35","5.7‱"
"50","Missing Translation","0.3%","00:25","0.11%","00:28","1.87‱"
