"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","24.96%","10:29","31.81%","325:04","103.54‱"
"2","PLAYERUNKNOWN'S BATTLEGROUNDS","14.51%","13:09","7.5%","76:18","24.19‱"
"3","Rocket League","9.75%","08:22","11.03%","115:15","36.38‱"
"4","H1Z1: King of the Kill","6.52%","13:14","8.34%","98:08","29.44‱"
"5","Garry's Mod","5.99%","14:44","17.84%","151:53","60‱"
"6","Paladins","4.28%","04:49","12.03%","20:17","44.61‱"
"7","Tom Clancy's Rainbow Six Siege","3.2%","12:22","2.74%","131:37","8.94‱"
"8","Grand Theft Auto V","3%","07:19","5.7%","128:19","18.45‱"
"9","Dota 2","2.92%","16:58","18.42%","200:13","59.12‱"
"10","Warframe","2.62%","14:57","11.52%","90:27","48.74‱"
"11","ARK: Survival Evolved","2.42%","17:24","8.07%","137:21","26.46‱"
"12","Team Fortress 2","2.39%","08:04","31.33%","79:20","100.56‱"
"13","Euro Truck Simulator 2","2.34%","06:22","4.65%","107:06","16.15‱"
"14","The Elder Scrolls V: Skyrim","2.19%","06:59","13.74%","121:36","45.59‱"
"15","Brawlhalla","2.09%","04:12","10.93%","16:42","37.15‱"
"16","Divinity: Original Sin 2","2.06%","22:08","0.85%","35:15","2.82‱"
"17","Total War: WARHAMMER II","1.86%","21:43","0.63%","21:43","2.05‱"
"18","Unturned","1.76%","04:00","19.59%","25:19","71.56‱"
"19","PAYDAY 2: Ultimate Edition","1.74%","05:48","14.67%","49:20","57.95‱"
"20","Sid Meier's Civilization V","1.64%","09:48","8.49%","131:50","28.56‱"
"21","Arma 3","1.59%","20:50","7.18%","223:50","23.37‱"
"22","Rust","1.49%","17:21","7.82%","104:25","26.08‱"
"23","Total War: WARHAMMER","1.44%","04:52","2.56%","92:09","8.72‱"
"24","Counter-Strike: Source","1.41%","05:49","18.91%","274:20","67.51‱"
"25","Path of Exile","1.33%","25:08","5.68%","78:19","23.81‱"
"26","The Binding of Isaac: Rebirth","1.31%","07:28","2.64%","140:05","8.64‱"
"27","Fallout 4","1.31%","11:08","4.84%","100:30","16.04‱"
"28","Age of Empires II HD","1.26%","08:06","5.02%","36:07","17.38‱"
"29","Left 4 Dead 2","1.26%","04:53","15.4%","45:32","54.56‱"
"30","The Elder Scrolls V: Skyrim Special Edition","1.23%","07:46","3.34%","28:32","22.47‱"
"31","War Thunder","1.16%","06:18","7.72%","58:08","34.25‱"
"32","Borderlands 2","1.16%","06:20","9.31%","67:06","31.82‱"
"33","Fallout Shelter","1.08%","04:12","3.65%","14:52","14.35‱"
"34","Dead by Daylight","1.08%","08:02","1.35%","57:28","4.78‱"
"35","Black Squad","1.06%","04:52","2.02%","10:51","8.39‱"
"36","Total War: ROME II - Emperor Edition","1.01%","09:47","3.31%","126:09","11.02‱"
"37","Sid Meiers Civilization VI","1.01%","07:15","2.3%","71:22","7.46‱"
"38","Cuphead","0.98%","03:58","0.33%","03:58","1.26‱"
"39","Europa Universalis IV","0.93%","15:56","1.4%","181:59","4.76‱"
"40","Crossout","0.91%","11:22","1.81%","20:49","6.86‱"
"41","Wallpaper Engine","0.91%","03:44","1.1%","17:44","3.58‱"
"42","Fallout: A Post Nuclear Role Playing Game","0.91%","00:24","0.96%","03:25","7.76‱"
"43","Call of Duty: Black Ops III","0.88%","03:30","2.68%","81:03","8.91‱"
"44","Mount & Blade: Warband","0.88%","03:46","2.8%","154:08","9.51‱"
"45","Insurgency","0.88%","02:27","2.88%","18:59","11.32‱"
"46","TrackMania Stadium","0.88%","03:07","2.49%","19:59","8.28‱"
"47","Middle-earth: Shadow of Mordor","0.86%","05:11","4.53%","19:15","17.3‱"
"48","Football Manager 2017","0.86%","21:33","0.85%","261:49","2.82‱"
"49","Stellaris","0.83%","22:09","1.33%","69:16","4.7‱"
"50","Call of Duty: Black Ops II","0.83%","01:53","4.51%","102:58","15.47‱"
