"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","27.36%","13:08","31.9%","316:53","103.42‱"
"2","PLAYERUNKNOWN'S BATTLEGROUNDS","9.21%","14:44","4.72%","58:32","15.34‱"
"3","Rocket League","8.83%","08:30","11%","100:44","35.58‱"
"4","Garry's Mod","7.39%","17:46","18.46%","159:20","60.85‱"
"5","H1Z1: King of the Kill","6.87%","17:05","7.61%","84:04","28.22‱"
"6","Paladins","6.54%","07:43","10.96%","19:03","40.55‱"
"7","Dota 2","3.76%","16:07","17.83%","190:37","56.88‱"
"8","Grand Theft Auto V","3.38%","08:25","5.87%","118:47","18.87‱"
"9","PAYDAY 2: Ultimate Edition","3.3%","05:29","14.71%","50:45","58.43‱"
"10","Warframe","3.22%","16:20","11.09%","95:16","47.47‱"
"11","The Elder Scrolls V: Skyrim","3.22%","06:59","13.83%","113:59","45.6‱"
"12","Arma 3","3.05%","15:45","7.17%","243:00","23.08‱"
"13","Unturned","2.75%","06:16","19.69%","26:41","71.31‱"
"14","Brawlhalla","2.73%","03:27","10.41%","13:19","36.26‱"
"15","ARK: Survival Evolved","2.62%","13:58","8.3%","136:27","27.17‱"
"16","Team Fortress 2","2.4%","08:01","32.11%","72:09","102.46‱"
"17","Euro Truck Simulator 2","2.21%","07:39","4.84%","74:07","16.45‱"
"18","Tom Clancy's Rainbow Six Siege","2.18%","11:17","2.59%","109:14","8.47‱"
"19","Rust","1.96%","14:18","7.82%","115:03","25.91‱"
"20","TrackMania Stadium","1.85%","08:56","2.41%","28:35","7.83‱"
"21","Left 4 Dead 2","1.66%","02:41","15.82%","40:42","54.78‱"
"22","Sid Meier's Civilization V","1.66%","11:30","8.3%","130:53","27.81‱"
"23","Middle-earth: Shadow of Mordor","1.61%","06:46","4.25%","20:43","15.63‱"
"24","The Elder Scrolls V: Skyrim Special Edition","1.53%","10:31","3.52%","24:33","23.34‱"
"25","Counter-Strike: Source","1.47%","11:40","19.83%","250:37","70.26‱"
"26","Portal 2","1.47%","03:02","9.28%","13:40","35.06‱"
"27","Jotun: Valhalla Edition","1.44%","01:33","0.75%","01:32","8.06‱"
"28","Fallout 4","1.42%","12:17","4.5%","82:44","14.87‱"
"29","7 Days to Die","1.39%","24:37","2.34%","119:26","7.68‱"
"30","Gigantic","1.39%","02:13","0.47%","02:13","2.34‱"
"31","Total War: WARHAMMER","1.39%","09:30","2.55%","94:16","8.76‱"
"32","War Thunder","1.36%","05:21","7.9%","49:48","34.97‱"
"33","The Binding of Isaac: Rebirth","1.28%","04:41","2.74%","107:29","8.91‱"
"34","Borderlands 2","1.25%","07:26","9.34%","67:29","31.55‱"
"35","Crossout","1.23%","09:19","1.19%","14:34","4.27‱"
"36","Age of Empires II HD","1.23%","05:50","5.15%","33:30","17.79‱"
"37","Darkest Dungeon","1.2%","07:30","2.57%","28:53","8.47‱"
"38","Wallpaper Engine","1.14%","02:30","0.95%","15:27","3.04‱"
"39","Fallout Shelter","1.12%","03:24","3.64%","10:33","14.14‱"
"40","Terraria","1.09%","12:37","5.84%","65:52","19.63‱"
"41","Football Manager 2017","1.06%","34:38","0.72%","299:02","2.34‱"
"42","DOOM","1.04%","05:31","2.4%","13:06","8.36‱"
"43","The Forest","1.04%","06:25","4.69%","22:33","15.6‱"
"44","Trove","1.01%","05:19","9.45%","25:01","34.36‱"
"45","Sid Meiers Civilization VI","1.01%","13:07","2.08%","64:03","6.69‱"
"46","Mount & Blade: Warband","0.98%","06:27","2.76%","115:11","9.52‱"
"47","Battlerite","0.98%","06:57","1.88%","27:12","6.05‱"
"48","The Witcher 3: Wild Hunt","0.93%","12:37","3.28%","71:15","11.6‱"
"49","DRAGON BALL XENOVERSE 2","0.9%","09:22","1%","35:10","3.21‱"
"50","Warface: Ice Breaker","0.87%","09:45","7.14%","22:34","31.96‱"
