"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","27.91%","13:13","31.97%","290:18","112.31‱"
"2","Rocket League","10.54%","08:32","11%","94:43","38.97‱"
"3","H1Z1: King of the Kill","8.18%","14:05","6.7%","72:45","26.55‱"
"4","Garry's Mod","7.51%","16:00","18.28%","156:26","66.22‱"
"5","PLAYERUNKNOWN'S BATTLEGROUNDS","4.56%","17:21","2.06%","39:56","7.37‱"
"6","Paladins","4.22%","06:48","7.53%","18:34","31.32‱"
"7","Grand Theft Auto V","4.19%","08:04","5.01%","116:12","17.85‱"
"8","Dota 2","3.63%","15:54","17.99%","195:08","62.63‱"
"9","Fallout Shelter","3.57%","06:14","2.46%","10:21","11.18‱"
"10","Brawlhalla","3.18%","03:20","10.23%","16:45","38.15‱"
"11","Arma 3","3.11%","15:53","7.29%","220:56","25.5‱"
"12","ARK: Survival Evolved","2.85%","18:00","8.19%","132:03","29.09‱"
"13","The Elder Scrolls V: Skyrim","2.69%","08:47","13.43%","129:30","48.31‱"
"14","Team Fortress 2","2.69%","08:15","32.77%","64:59","114.12‱"
"15","Unturned","2.41%","06:52","19.62%","31:11","77.31‱"
"16","Warframe","2.15%","13:55","11.05%","76:24","49.71‱"
"17","Tom Clancy's Rainbow Six Siege","2.12%","11:36","2.12%","103:31","7.59‱"
"18","Euro Truck Simulator 2","2.02%","05:33","4.53%","66:05","16.74‱"
"19","Rust","1.99%","11:37","8.03%","106:04","28.97‱"
"20","PAYDAY 2","1.76%","05:48","10.42%","66:30","37.86‱"
"21","Last Man Standing","1.63%","03:34","0.99%","04:11","4.99‱"
"22","Sid Meier's Civilization V","1.48%","11:17","8%","123:04","29.06‱"
"23","War Thunder","1.48%","07:10","7.34%","53:21","36.56‱"
"24","The Binding of Isaac: Rebirth","1.48%","04:34","2.64%","108:03","9.21‱"
"25","Left 4 Dead 2","1.4%","01:29","15.19%","42:38","57.9‱"
"26","Counter-Strike: Source","1.37%","07:56","20.3%","270:11","77.24‱"
"27","Fallout 4","1.37%","12:20","4.27%","98:42","15.05‱"
"28","Age of Empires II HD","1.27%","08:41","4.76%","40:12","17.82‱"
"29","Terraria","1.24%","09:24","5.8%","55:58","21.47‱"
"30","Sid Meiers Civilization VI","1.22%","08:50","1.99%","53:00","6.99‱"
"31","Alien Swarm: Reactive Drop","1.22%","02:01","0.54%","02:04","2.45‱"
"32","Call of Duty: Black Ops II","1.22%","02:14","4.62%","99:37","16.8‱"
"33","Borderlands 2","1.22%","06:55","9.06%","67:17","33‱"
"34","Total War: WARHAMMER","1.22%","10:21","2.3%","87:32","8.29‱"
"35","Warhammer 40,000: Dawn of War III","1.19%","13:10","0.42%","13:10","1.56‱"
"36","DARK SOULS III","1.17%","12:48","1.71%","74:52","6‱"
"37","Robocraft","1.11%","03:33","12.96%","21:38","54.6‱"
"38","Stellaris","1.11%","11:11","1.1%","71:47","4.1‱"
"39","Heroes & Generals","1.09%","03:51","10.27%","17:17","44.88‱"
"40","Trove","1.06%","09:55","9.59%","33:23","38.46‱"
"41","The Elder Scrolls V: Skyrim Special Edition","1.06%","07:13","2.98%","19:54","24.65‱"
"42","Call of Duty: Black Ops III","1.04%","04:38","2.34%","90:53","8.51‱"
"43","The Witcher 3: Wild Hunt","1.01%","15:30","2.99%","73:35","11.31‱"
"44","Football Manager 2017","0.96%","25:04","0.75%","169:44","2.67‱"
"45","Chivalry: Medieval Warfare","0.96%","02:13","7.75%","22:00","30.81‱"
"46","Battlerite","0.93%","06:57","1.38%","29:17","4.8‱"
"47","BLOCKADE 3D","0.88%","02:28","8.29%","12:59","33.35‱"
"48","Planet Coaster","0.88%","07:25","1.16%","21:59","4.13‱"
"49","Wallpaper Engine","0.88%","11:16","0.74%","26:41","2.6‱"
"50","SMITE","0.88%","10:25","5.24%","31:32","24.23‱"
