"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","28.77%","12:32","30.25%","298:12","113.02‱"
"2","Rocket League","10.79%","08:55","9.03%","71:26","33.69‱"
"3","Garry's Mod","8.78%","14:14","18.29%","123:44","69.71‱"
"4","Unturned","4.54%","07:12","18.94%","22:07","79.33‱"
"5","Dota 2","4.29%","18:30","18.8%","178:29","68.89‱"
"6","Arma 3","3.64%","14:26","7.13%","211:26","26.43‱"
"7","ARK: Survival Evolved","3.37%","21:03","6.69%","117:21","25.18‱"
"8","The Elder Scrolls V: Skyrim","3.32%","06:30","14.38%","108:09","54.27‱"
"9","Team Fortress 2","3.27%","05:47","33.19%","75:10","121.64‱"
"10","Rust","3.17%","14:09","7.65%","91:47","28.86‱"
"11","Sid Meier's Civilization V","3.17%","12:37","8.37%","123:06","32.31‱"
"12","Brawlhalla","3.15%","04:57","7.77%","13:06","30.26‱"
"13","Warframe","2.51%","14:42","10.29%","83:40","50.32‱"
"14","Grand Theft Auto V","2.34%","05:03","4.49%","98:05","16.78‱"
"15","Paladins","2.1%","02:28","0.69%","02:28","3.77‱"
"16","Left 4 Dead 2","1.95%","02:12","16.48%","47:25","66.38‱"
"17","Counter-Strike: Source","1.9%","07:32","22.37%","299:33","90.56‱"
"18","PAYDAY 2","1.88%","06:45","10.48%","59:35","40.06‱"
"19","Fallout 4","1.85%","14:15","4.12%","89:14","15.35‱"
"20","The Binding of Isaac: Rebirth","1.73%","06:39","2.77%","103:31","10.18‱"
"21","Call of Duty: Black Ops III","1.63%","06:44","2.34%","85:37","8.77‱"
"22","Euro Truck Simulator 2","1.61%","08:45","3.71%","68:51","14.53‱"
"23","Borderlands 2","1.59%","06:10","9.35%","61:11","36.43‱"
"24","H1Z1: King of the Kill","1.42%","12:15","2.06%","45:35","14.77‱"
"25","Trove","1.42%","10:53","8.34%","30:04","35.12‱"
"26","War Thunder","1.27%","08:08","7.2%","41:08","36.32‱"
"27","The Witcher 3: Wild Hunt","1.24%","08:33","2.38%","76:38","9.68‱"
"28","Deus Ex: Mankind Divided","1.22%","11:11","0.67%","21:50","2.54‱"
"29","Football Manager 2016","1.2%","27:43","0.94%","301:06","3.45‱"
"30","Heroes & Generals","1.2%","04:45","8.39%","14:05","37.87‱"
"31","Call of Duty: Black Ops II - Multiplayer","1.2%","03:31","4.6%","125:57","17.75‱"
"32","Tom Clancy's Rainbow Six Siege","1.17%","10:57","1.08%","74:34","4.01‱"
"33","Terraria","1.15%","06:56","6.14%","62:56","23.74‱"
"34","Total War: WARHAMMER","1.15%","10:19","1.67%","55:24","6.2‱"
"35","DayZ","1.15%","02:57","6.49%","81:36","24.01‱"
"36","Tropico 4","1.12%","03:21","1.93%","21:15","11.73‱"
"37","Age of Empires II: HD Edition","1.12%","02:28","4.57%","28:25","18.51‱"
"38","Starbound","1.05%","03:55","3.67%","48:32","13.68‱"
"39","Cities: Skylines","1.05%","06:21","2.96%","28:16","11.29‱"
"40","SMITE","1.05%","11:28","4.28%","21:35","20.18‱"
"41","Clicker Heroes","1.02%","12:31","6.56%","106:10","28.25‱"
"42","Robocraft","1.02%","03:45","12.2%","21:14","53.95‱"
"43","Warface","1%","09:43","6.84%","13:24","34.21‱"
"44","Subnautica","0.98%","03:56","1.79%","20:24","6.78‱"
"45","BLOCKADE 3D","0.93%","02:58","7.36%","11:05","31.26‱"
"46","Company of Heroes 2","0.93%","08:00","2.29%","67:17","9.88‱"
"47","Chivalry: Medieval Warfare","0.93%","01:57","7.2%","20:24","28.19‱"
"48","Evolve","0.9%","02:27","4.53%","13:31","21.64‱"
"49","Reigns","0.88%","01:41","0.45%","02:54","1.7‱"
"50","Insurgency","0.83%","01:59","2.54%","16:28","11.64‱"
