"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","34.86%","14:50","28.67%","246:03","117.81‱"
"2","Garry's Mod","6.77%","09:48","16.13%","95:17","68.52‱"
"3","Rocket League","6.67%","07:09","4.94%","40:07","20.37‱"
"4","Fallout 4","5.78%","16:15","3%","55:16","12.23‱"
"5","Unturned","5.66%","04:38","16.63%","16:38","79.57‱"
"6","Dota 2","4.65%","21:20","19.7%","176:02","79.52‱"
"7","The Elder Scrolls V: Skyrim","4.32%","07:10","14.81%","104:30","62.15‱"
"8","Team Fortress 2","4.19%","05:33","34.75%","71:28","140.3‱"
"9","Arma 3","4.03%","18:22","6.94%","208:58","28.26‱"
"10","Emily is Away","3.94%","00:48","2.13%","00:51","9.32‱"
"11","The Binding of Isaac: Rebirth","3.27%","08:28","2.33%","96:06","9.55‱"
"12","Counter-Strike: Source","3.13%","06:38","25.78%","267:00","113.95‱"
"13","Grand Theft Auto V","2.95%","09:45","3.9%","97:28","15.98‱"
"14","Call of Duty: Black Ops III","2.83%","14:31","1.55%","42:26","6.4‱"
"15","Warframe","2.72%","18:40","8.39%","80:03","46.85‱"
"16","Clicker Heroes","2.64%","27:51","5.07%","98:09","25.04‱"
"17","Left 4 Dead 2","2.62%","03:22","17.44%","45:29","78.39‱"
"18","PAYDAY 2","2.56%","07:04","10.5%","53:53","44.38‱"
"19","Rust","2.53%","10:02","5.99%","88:58","24.67‱"
"20","ARK: Survival Evolved","2.46%","17:36","5.15%","87:20","21.26‱"
"21","Brawlhalla","2.37%","04:21","1.82%","06:25","8.16‱"
"22","Sid Meier's Civilization V","2.33%","12:18","7.57%","126:22","32.25‱"
"23","H1Z1","2.28%","12:28","3.59%","54:37","14.7‱"
"24","Borderlands 2","2.18%","08:51","9.73%","58:57","41.54‱"
"25","DayZ","2.12%","09:15","7.31%","83:46","29.63‱"
"26","AdVenture Capitalist","1.79%","04:08","3.12%","33:22","16.04‱"
"27","Trove","1.66%","09:29","6.58%","22:54","32.31‱"
"28","Euro Truck Simulator 2","1.59%","05:57","3.89%","61:11","17.32‱"
"29","Heroes & Generals","1.54%","03:22","7.71%","11:40","40.68‱"
"30","War Thunder","1.5%","08:28","6.21%","41:59","38.24‱"
"31","Age of Empires II: HD Edition","1.49%","04:50","4.5%","27:33","19.74‱"
"32","Terraria","1.45%","06:30","6.67%","53:15","28.26‱"
"33","Call of Duty: Black Ops II - Multiplayer","1.36%","05:32","4.79%","130:59","20.47‱"
"34","Just Cause 3","1.34%","13:37","0.49%","15:31","2.15‱"
"35","Portal 2","1.22%","04:04","8.14%","19:39","37.61‱"
"36","BLOCKADE 3D","1.2%","03:30","7.05%","09:16","33.85‱"
"37","Football Manager 2016","1.2%","38:08","0.51%","82:04","2.07‱"
"38","Total War: ROME II - Emperor Edition","1.17%","11:16","3.3%","120:15","14.46‱"
"39","Killing Floor 2","1.15%","03:57","1.14%","17:12","4.99‱"
"40","Elite: Dangerous","1.13%","17:17","1.3%","59:38","5.54‱"
"41","Dying Light","1.1%","05:34","2.62%","32:26","10.92‱"
"42","Robocraft","1.03%","04:28","11.51%","20:18","56.74‱"
"43","Chivalry: Medieval Warfare","1.01%","02:08","7.3%","22:04","30.97‱"
"44","SMITE","1.01%","11:28","1.98%","14:49","11.55‱"
"45","Starbound","0.96%","07:08","3.8%","44:12","15.46‱"
"46","Don't Starve Together Beta","0.96%","06:53","3.18%","14:42","22.02‱"
"47","PlanetSide 2","0.92%","04:35","6.87%","24:18","36.85‱"
"48","Devilian","0.92%","07:18","0.34%","07:18","2.02‱"
"49","Warhammer: End Times - Vermintide","0.92%","04:39","0.79%","19:05","3.2‱"
"50","Counter-Strike","0.9%","05:28","15%","123:33","77.58‱"
