"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","31%","14:23","31.77%","309:39","112.55‱"
"2","Rocket League","11.09%","08:08","10.46%","92:57","37.34‱"
"3","Garry's Mod","8.58%","11:50","18.42%","144:17","67.8‱"
"4","H1Z1: King of the Kill","6.27%","13:48","4.46%","55:25","20.15‱"
"5","ARK: Survival Evolved","4.8%","17:28","7.66%","127:19","27.82‱"
"6","Dota 2","3.65%","19:43","18.87%","174:59","66.04‱"
"7","Team Fortress 2","3.62%","05:41","31.91%","77:30","111.67‱"
"8","Paladins","3.44%","05:21","5.56%","11:10","23.68‱"
"9","Arma 3","3.39%","15:24","7.24%","232:19","25.64‱"
"10","Grand Theft Auto V","3.31%","08:20","5.12%","97:43","18.13‱"
"11","Rust","3.13%","14:22","8.04%","116:06","28.82‱"
"12","Unturned","3.08%","04:54","20.02%","25:24","79.88‱"
"13","The Binding of Isaac: Rebirth","2.9%","11:53","2.69%","136:43","9.56‱"
"14","The Elder Scrolls V: Skyrim","2.9%","08:34","14.36%","117:01","51.78‱"
"15","Brawlhalla","2.7%","03:37","8.93%","13:05","33.78‱"
"16","Warframe","2.36%","10:00","10.92%","88:40","50.08‱"
"17","Euro Truck Simulator 2","2.36%","06:21","4.58%","59:23","16.56‱"
"18","Left 4 Dead 2","2.03%","02:47","15.87%","42:33","61.37‱"
"19","PAYDAY 2","1.98%","04:13","10.79%","59:32","39.96‱"
"20","Counter-Strike: Source","1.9%","06:41","21.56%","269:34","82.82‱"
"21","Fallout 4","1.85%","09:27","4.48%","97:58","16.3‱"
"22","RESIDENT EVIL 7 biohazard / BIOHAZARD 7 resident evil","1.82%","08:56","0.64%","08:56","2.46‱"
"23","Infestation: The New Z","1.75%","06:27","2.3%","11:32","10.66‱"
"24","Tom Clancy's Rainbow Six Siege","1.72%","11:31","1.78%","70:26","6.65‱"
"25","Sid Meier's Civilization V","1.72%","12:19","8.44%","128:25","30.91‱"
"26","War Thunder","1.57%","09:38","7.25%","43:01","36.77‱"
"27","Trove","1.52%","03:32","8.97%","26:27","36.68‱"
"28","Sid Meier’s Civilization® VI","1.52%","13:05","1.99%","53:20","7.1‱"
"29","Borderlands 2","1.34%","06:20","9.37%","62:40","34.72‱"
"30","Heroes & Generals","1.34%","05:49","9.92%","16:33","44.5‱"
"31","Clicker Heroes","1.31%","13:24","7.23%","107:02","29.74‱"
"32","The Forest","1.31%","03:52","4.45%","18:01","16.18‱"
"33","Age of Empires II: HD Edition","1.31%","06:09","5.18%","32:57","19.87‱"
"34","The Elder Scrolls V: Skyrim Special Edition","1.28%","10:28","2.6%","16:22","25.45‱"
"35","SMITE","1.21%","10:04","5.04%","32:28","24.06‱"
"36","DayZ","1.18%","11:11","6.08%","87:06","21.44‱"
"37","The Witcher 3: Wild Hunt","1.16%","11:13","2.85%","64:28","11.07‱"
"38","Disc Jam","1.13%","02:10","0.59%","02:12","2.55‱"
"39","Conan Exiles","1.1%","07:57","0.39%","07:56","1.51‱"
"40","Total War: WARHAMMER","1.03%","11:22","2.07%","80:38","7.35‱"
"41","Astroneer Alpha","1%","02:58","1.04%","08:44","3.66‱"
"42","Chivalry: Medieval Warfare","0.98%","03:45","7.45%","18:18","28.13‱"
"43","Call of Duty: Black Ops II - Multiplayer","0.95%","02:21","4.57%","111:39","16.81‱"
"44","Dead by Daylight","0.92%","07:18","1.08%","39:22","4.01‱"
"45","Call of Duty: Black Ops III","0.9%","04:16","2.41%","80:59","8.61‱"
"46","DARK SOULS III","0.9%","06:49","1.66%","70:10","6.02‱"
"47","Resident Evil 7 / Biohazard 7 Teaser: Beginning Hour","0.87%","00:47","1%","00:52","4.48‱"
"48","Planet Coaster ®","0.87%","04:27","1.14%","16:25","4.16‱"
"49","Warface","0.87%","02:02","6.97%","12:05","34.31‱"
"50","Football Manager 2017","0.85%","40:50","0.5%","174:52","1.77‱"
