"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","22.23%","14:56","30.27%","237:09","72.79‱"
"2","Garry's Mod","9.37%","10:23","27.28%","128:57","68.26‱"
"3","Team Fortress 2","7.88%","11:05","47.55%","134:08","110.72‱"
"4","Dota 2","6.98%","20:33","27.47%","247:00","63.97‱"
"5","Rocket League","6.92%","08:28","9.04%","54:50","22.63‱"
"6","Grand Theft Auto V","5.84%","10:06","8.39%","91:40","19.99‱"
"7","Sid Meier's Civilization V","5.58%","11:37","18.45%","143:05","45.52‱"
"8","The Elder Scrolls V: Skyrim","5.52%","09:12","22.8%","116:03","55.58‱"
"9","Evolve","5%","05:04","3.69%","12:54","11.72‱"
"10","Fallout 4","4.73%","10:40","9.84%","97:30","23.4‱"
"11","Unturned","4.68%","08:08","21.21%","22:10","58.26‱"
"12","Starbound","4.55%","08:34","7.08%","58:01","16.96‱"
"13","Terraria","4.48%","08:43","19.58%","86:48","48.33‱"
"14","Left 4 Dead 2","3.22%","03:26","23.31%","42:32","61.95‱"
"15","Warframe","2.93%","15:26","12.9%","85:02","39.5‱"
"16","Arma 3","2.9%","17:10","5.35%","148:48","12.78‱"
"17","Rust","2.75%","16:38","8.24%","85:12","19.97‱"
"18","ARK: Survival Evolved","2.51%","20:41","7.61%","103:46","18.76‱"
"19","PAYDAY 2","2.28%","06:37","11.78%","57:43","30.22‱"
"20","Brawlhalla","1.98%","04:26","5.47%","13:24","14.2‱"
"21","Stardew Valley","1.96%","11:28","4.5%","42:14","10.92‱"
"22","DOOM","1.94%","03:19","2.41%","15:24","6.01‱"
"23","Undertale","1.86%","02:42","6.52%","15:09","16.77‱"
"24","Borderlands 2","1.86%","06:01","16.18%","63:11","40.8‱"
"25","War Thunder","1.85%","07:55","9.25%","53:13","29.55‱"
"26","Dead by Daylight","1.82%","10:31","1.35%","16:29","3.44‱"
"27","Golf With Friends","1.7%","01:44","1.69%","04:32","4.38‱"
"28","SMITE","1.67%","13:42","5.43%","39:04","16.64‱"
"29","The Witcher 3: Wild Hunt","1.66%","11:27","3.84%","55:26","10.26‱"
"30","H1Z1: King of the Kill","1.54%","07:49","2.38%","28:39","13.62‱"
"31","Call of Duty: World at War","1.53%","07:04","4.28%","42:41","10.74‱"
"32","DayZ","1.48%","08:43","7.89%","66:07","18.6‱"
"33","Portal 2","1.48%","02:18","17.27%","17:31","46.98‱"
"34","Tom Clancy's Rainbow Six Siege","1.47%","13:02","1.78%","61:45","4.25‱"
"35","Insurgency","1.45%","02:38","5.94%","21:42","16.51‱"
"36","Mount & Blade: Warband","1.43%","09:15","4.97%","103:18","12.95‱"
"37","DARK SOULS III","1.43%","09:44","2.69%","64:17","6.39‱"
"38","Fallout: New Vegas","1.37%","06:47","13.21%","57:39","34.99‱"
"39","7 Days to Die","1.35%","12:53","4.03%","63:16","9.86‱"
"40","AdVenture Capitalist","1.32%","08:25","5.24%","51:22","14.65‱"
"41","Life Is Strange","1.28%","02:19","2.92%","10:45","11.11‱"
"42","Counter-Strike: Source","1.27%","05:38","16.42%","94:24","48.91‱"
"43","Call of Duty: Black Ops III","1.26%","07:13","2.27%","68:12","5.42‱"
"44","Trove","1.22%","09:40","6.98%","24:50","19.67‱"
"45","Total War: WARHAMMER","1.21%","13:45","1.38%","51:40","3.34‱"
"46","Don't Starve Together Beta","1.18%","05:03","7.52%","18:12","26.35‱"
"47","Riders of Icarus","1.17%","08:02","1.01%","06:59","5.01‱"
"48","ShellShock Live","1.1%","05:01","1.34%","16:16","3.29‱"
"49","RimWorld","1.08%","19:19","0.42%","19:16","1.13‱"
