"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","20.2%","12:41","30.48%","275:03","69.16‱"
"2","PLAYERUNKNOWN'S BATTLEGROUNDS","8.64%","15:56","3.74%","35:40","8.42‱"
"3","Rocket League","7%","08:53","10.61%","88:00","24.91‱"
"4","Garry's Mod","6.26%","07:48","26.07%","136:54","61.36‱"
"5","Dota 2","6.21%","19:27","26.59%","265:30","58.57‱"
"6","Team Fortress 2","5.27%","08:29","45.08%","128:42","99.32‱"
"7","Grand Theft Auto V","5.18%","07:54","9.62%","99:56","21.62‱"
"8","H1Z1: King of the Kill","3.75%","10:50","5.46%","56:42","16.95‱"
"9","Terraria","3.66%","08:04","18.88%","91:48","43.65‱"
"10","Fallout 4","3.23%","10:58","10.25%","113:27","23.41‱"
"11","Tom Clancy's Rainbow Six Siege","3.12%","09:59","3.52%","79:28","7.94‱"
"12","The Elder Scrolls V: Skyrim","3.04%","07:10","21.57%","117:28","49.5‱"
"13","Sid Meier's Civilization V","2.6%","10:52","17.69%","140:59","41.4‱"
"14","ARK: Survival Evolved","2.49%","18:38","8.7%","126:57","20.24‱"
"15","Arma 3","2.46%","13:29","5.97%","161:53","13.58‱"
"16","Warframe","2.36%","13:49","13.34%","92:45","39.06‱"
"17","Fallout Shelter","2.25%","05:57","2.12%","07:22","6.13‱"
"18","Unturned","2.2%","08:53","21.69%","28:11","55.75‱"
"19","Paladins","2.19%","05:43","6.19%","14:36","15.75‱"
"20","Rust","2.17%","16:55","9.13%","105:09","21.36‱"
"21","DARK SOULS III","1.99%","09:43","3.26%","80:35","7.46‱"
"22","Left 4 Dead 2","1.96%","03:33","21.85%","45:27","54.64‱"
"23","Brawlhalla","1.82%","03:42","7.25%","16:28","17.57‱"
"24","Borderlands 2","1.78%","06:46","15.75%","63:04","37.63‱"
"25","War Thunder","1.77%","08:37","9.31%","61:30","28.32‱"
"26","The Elder Scrolls V: Skyrim Special Edition","1.76%","07:31","5.87%","24:36","28.2‱"
"27","Wallpaper Engine","1.73%","04:54","1.53%","16:49","3.42‱"
"28","Stardew Valley","1.73%","07:50","6.17%","50:22","14.82‱"
"29","Sid Meiers Civilization VI","1.61%","14:34","3.46%","66:16","7.81‱"
"30","The Binding of Isaac: Rebirth","1.6%","06:29","4.08%","108:26","9.27‱"
"31","Stellaris","1.45%","16:35","1.95%","70:32","4.52‱"
"32","PAYDAY 2","1.34%","06:53","11.08%","59:14","27.06‱"
"33","The Witcher 3: Wild Hunt","1.34%","10:16","4.71%","60:03","11.96‱"
"34","SMITE","1.31%","12:05","6.56%","45:30","18.76‱"
"35","Factorio","1.31%","18:25","1.95%","70:30","4.4‱"
"36","Fallout: New Vegas","1.29%","07:16","12.44%","59:05","31.01‱"
"37","Path of Exile","1.28%","15:01","8.96%","64:13","25.66‱"
"38","Golf With Your Friends","1.2%","01:26","3.21%","06:39","7.53‱"
"39","Alien Swarm: Reactive Drop","1.2%","02:09","0.53%","02:12","1.73‱"
"40","7 Days to Die","1.2%","13:43","5.19%","70:55","12‱"
"41","Don't Starve Together","1.2%","05:36","8.13%","21:37","24.5‱"
"42","Insurgency","1.19%","04:13","6.21%","23:46","16.45‱"
"43","Subnautica","1.14%","05:10","3.31%","19:25","8.11‱"
"44","Cities: Skylines","1.11%","07:55","5.47%","34:48","12.63‱"
"45","Call of Duty: World at War","1.1%","04:34","4.28%","42:50","10.11‱"
"46","The Elder Scrolls Online: Tamriel Unlimited","1.1%","19:26","2.98%","67:35","6.85‱"
"47","Mount & Blade: Warband","1.05%","08:28","4.79%","116:01","11.61‱"
"48","STAR WARS Battlefront II","1.05%","01:55","6.4%","10:36","17.86‱"
"49","Tabletop Simulator","1.02%","04:08","3.81%","17:49","9.25‱"
"50","Starbound","1.02%","07:23","7.48%","60:17","16.93‱"
