"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","21.4%","13:30","29.93%","249:02","69.26‱"
"2","Rocket League","8.26%","09:04","9.56%","63:20","22.91‱"
"3","Garry's Mod","7.46%","08:25","27.22%","132:44","65.21‱"
"4","Dota 2","7.38%","18:47","27.19%","254:38","60.65‱"
"5","Team Fortress 2","6.58%","10:13","46.98%","133:57","104.8‱"
"6","The Elder Scrolls V: Skyrim","5.12%","07:29","22.52%","119:25","52.78‱"
"7","Fallout 4","5.01%","10:59","10.13%","103:48","23.05‱"
"8","Sid Meier's Civilization V","4.95%","11:27","18.7%","141:18","44.41‱"
"9","Grand Theft Auto V","4.16%","07:41","8.38%","93:39","19.01‱"
"10","Terraria","3.99%","07:08","19.73%","88:01","46.59‱"
"11","Unturned","3.73%","06:54","21.58%","22:37","56.55‱"
"12","ARK: Survival Evolved","3.14%","23:06","7.9%","112:40","18.49‱"
"13","Borderlands 2","3.03%","06:34","16.45%","64:58","39.68‱"
"14","Arma 3","2.66%","16:28","5.69%","153:01","13.05‱"
"15","Left 4 Dead 2","2.58%","03:02","23.16%","44:27","58.99‱"
"16","Warframe","2.47%","12:43","12.82%","81:07","37.93‱"
"17","Rust","2.43%","13:40","8.63%","81:30","20.31‱"
"18","War Thunder","2.07%","07:48","9.2%","54:11","28.25‱"
"19","SMITE","1.97%","10:30","5.76%","39:25","16.76‱"
"20","H1Z1: King of the Kill","1.83%","09:09","2.59%","38:04","13.43‱"
"21","Starbound","1.81%","08:01","7.67%","63:45","17.51‱"
"22","PAYDAY 2","1.77%","06:04","11.64%","58:14","28.66‱"
"23","Brawlhalla","1.75%","03:31","5.84%","11:05","14.38‱"
"24","The Binding of Isaac: Rebirth","1.69%","04:25","4.14%","99:27","9.57‱"
"25","Paladins","1.68%","02:24","0.61%","02:24","1.86‱"
"26","Tom Clancy's Rainbow Six Siege","1.63%","10:28","2.01%","63:03","4.58‱"
"27","Insurgency","1.59%","03:10","6.13%","21:28","16.59‱"
"28","The Witcher 3: Wild Hunt","1.58%","11:42","4.02%","57:17","10.12‱"
"29","BioShock Remastered","1.51%","02:18","0.55%","02:18","22.79‱"
"30","Dead by Daylight","1.51%","12:24","1.85%","27:44","4.39‱"
"31","Mount & Blade: Warband","1.46%","07:20","5.01%","114:47","12.58‱"
"32","Path of Exile","1.46%","17:48","8.23%","49:01","24.28‱"
"33","Call of Duty: Black Ops III","1.41%","08:03","2.37%","68:09","5.66‱"
"34","Stardew Valley","1.39%","06:18","4.63%","43:28","10.82‱"
"35","DARK SOULS III","1.39%","08:30","2.85%","69:45","6.52‱"
"36","Cities: Skylines","1.35%","07:04","5.06%","30:48","11.79‱"
"37","DayZ","1.35%","06:40","8.03%","79:21","18.13‱"
"38","Call of Duty: World at War","1.3%","05:00","4.36%","38:33","10.58‱"
"39","Fallout: New Vegas","1.28%","05:11","13.4%","59:19","33.95‱"
"40","Undertale","1.22%","02:38","6.62%","15:41","16.28‱"
"41","TOXIKK","1.21%","00:38","0.58%","01:41","2.15‱"
"42","Don't Starve Together Beta","1.21%","05:10","7.74%","18:35","25.41‱"
"43","AdVenture Capitalist","1.19%","10:17","5.01%","51:59","13.6‱"
"44","DOOM","1.18%","03:44","2.93%","16:09","6.88‱"
"45","Heroes & Generals","1.17%","04:53","9.36%","13:19","27.27‱"
"46","7 Days to Die","1.12%","10:40","4.34%","63:37","10.11‱"
"47","Killing Floor 2","1.1%","05:42","2.77%","28:15","6.43‱"
"48","Counter-Strike: Source","1.08%","04:43","16.18%","91:42","46.55‱"
"49","Kerbal Space Program","1.06%","05:17","5.15%","65:24","12.01‱"
"50","Golf With Friends","1.06%","01:27","1.93%","05:11","4.79‱"
