"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","23.93%","17:34","25.71%","178:50","65.35‱"
"2","Team Fortress 2","10.38%","10:36","49.59%","129:10","120.76‱"
"3","Garry's Mod","9.74%","08:08","26.35%","123:47","69.68‱"
"4","Dota 2","9.25%","21:28","27.81%","227:43","67.74‱"
"5","Rocket League","6.27%","08:55","3.73%","23:11","10.01‱"
"6","The Elder Scrolls V: Skyrim","5.95%","08:18","23.02%","112:19","58.85‱"
"7","Terraria","5.68%","09:54","19.99%","80:04","51.82‱"
"8","Sid Meier's Civilization V","4.86%","11:37","18.63%","131:46","48.04‱"
"9","ARK: Survival Evolved","4.61%","20:08","5.03%","58:11","39.01‱"
"10","Grand Theft Auto V","4.54%","07:42","6.25%","68:31","15.43‱"
"11","Unturned","4.44%","05:31","18.84%","14:38","55.98‱"
"12","PAYDAY 2","4.26%","09:52","11.48%","52:25","35.65‱"
"13","H1Z1","3.63%","11:27","4.82%","48:41","12.04‱"
"14","Left 4 Dead 2","3.57%","03:34","24.42%","44:51","69.07‱"
"15","Fallout: New Vegas","3.33%","07:27","13.86%","56:51","39.05‱"
"16","AdVenture Capitalist","2.87%","08:11","3.46%","38:14","10.57‱"
"17","Warframe","2.65%","16:31","10.4%","70:28","34.01‱"
"18","Clicker Heroes","2.63%","30:01","3.33%","84:30","9.99‱"
"19","Borderlands 2","2.59%","06:55","16.99%","63:49","45.04‱"
"20","War Thunder","2.3%","08:29","7.88%","52:40","27.22‱"
"21","Trove","2.27%","10:18","4.56%","17:34","13.62‱"
"22","Arma 3","2.25%","15:06","4.7%","123:52","11.67‱"
"23","DayZ","2.24%","08:02","8.76%","64:15","21.59‱"
"24","The Binding of Isaac: Rebirth","2.19%","06:07","3.43%","61:00","8.73‱"
"25","Mount & Blade: Warband","2.16%","08:39","5.44%","87:56","72.5‱"
"26","Dirty Bomb","1.97%","04:03","5.77%","08:32","18.79‱"
"27","Counter-Strike: Source","1.96%","02:52","18.99%","97:28","58.63‱"
"28","Rust","1.75%","12:46","7.3%","62:39","18.05‱"
"29","METAL GEAR SOLID V: THE PHANTOM PAIN","1.67%","09:27","0.69%","09:27","2.39‱"
"30","Starbound","1.67%","08:55","7.46%","51:12","18.69‱"
"31","Killing Floor 2","1.58%","03:05","2.3%","15:23","20.7‱"
"32","Insurgency","1.48%","03:41","5.12%","19:09","15.49‱"
"33","METAL GEAR SOLID V: GROUND ZEROES","1.47%","03:15","1.39%","06:07","4.52‱"
"34","PlanetSide 2","1.4%","05:20","9.62%","40:02","30.49‱"
"35","Fallout 3 - Game of the Year Edition","1.39%","03:21","6.73%","18:04","19.54‱"
"36","Heroes & Generals","1.38%","05:20","8.29%","10:31","27.24‱"
"37","TERA","1.36%","15:35","4.47%","23:37","16.14‱"
"38","Path of Exile","1.34%","15:24","7.24%","44:16","23.47‱"
"39","Portal 2","1.32%","02:41","17.81%","18:00","50.18‱"
"40","Magic Duels","1.29%","05:39","1.45%","08:34","4.56‱"
"41","The Witcher 3: Wild Hunt","1.18%","09:16","1.89%","48:19","4.92‱"
"42","Don't Starve Together Beta","1.18%","05:03","5.91%","13:51","26.38‱"
"43","Call of Duty: Black Ops III Beta","1.14%","02:21","0.47%","02:21","4.07‱"
"44","Fishing Planet","1.13%","03:16","0.85%","03:01","2.89‱"
"45","Robocraft","1.1%","04:50","8.55%","20:51","28.01‱"
"46","Call of Duty: World at War","1.09%","06:51","3.2%","40:35","8.59‱"
"47","Company of Heroes 2","1.08%","06:26","2.95%","41:21","68.73‱"
"48","Relic Hunters Zero","1.07%","01:16","0.49%","01:16","1.66‱"
"49","Cities: Skylines","1.06%","06:29","3.76%","23:25","9.46‱"
