"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","22.87%","17:17","24.28%","159:48","61.6‱"
"2","Garry's Mod","10.85%","09:12","26.18%","115:50","69.03‱"
"3","Team Fortress 2","10.65%","10:01","50.64%","128:27","122.66‱"
"4","Dota 2","9.34%","20:51","27.76%","212:36","67.23‱"
"5","The Elder Scrolls V: Skyrim","7.58%","08:10","23.48%","108:48","59.79‱"
"6","Fallout: New Vegas","7.54%","08:33","13.86%","55:12","39.38‱"
"7","Grand Theft Auto V","5.85%","10:30","6.09%","59:36","15.06‱"
"8","Sid Meier's Civilization V","5.3%","11:15","18.89%","128:29","48.42‱"
"9","ARK: Survival Evolved","4.93%","23:28","2.7%","32:23","6.9‱"
"10","Left 4 Dead 2","4.55%","04:10","24.96%","44:36","69.94‱"
"11","Terraria","4.46%","08:37","19.43%","68:10","50.96‱"
"12","PAYDAY 2","4.1%","09:07","10.94%","50:32","29.33‱"
"13","Unturned","3.97%","04:34","17.91%","13:12","52.4‱"
"14","Fallout 3 - Game of the Year Edition","3.89%","04:44","6.42%","18:05","19.12‱"
"15","Borderlands 2","3.71%","07:18","17.08%","63:58","44.88‱"
"16","Dirty Bomb","3.54%","04:26","2.98%","05:43","9.81‱"
"17","Clicker Heroes","3.21%","27:16","2.43%","49:19","6.94‱"
"18","AdVenture Capitalist","3.05%","08:44","2.6%","29:04","7.86‱"
"19","H1Z1","2.81%","10:11","4.14%","42:43","10.41‱"
"20","Castle Crashers","2.74%","02:58","7.94%","07:10","24.02‱"
"21","The Binding of Isaac: Rebirth","2.65%","06:44","3.32%","57:57","8.49‱"
"22","Don't Starve Together Beta","2.48%","05:15","5.3%","12:15","25.53‱"
"23","Portal 2","2.47%","03:15","18.44%","17:41","51.41‱"
"24","Chivalry: Medieval Warfare","2.46%","03:24","8.68%","17:52","23.9‱"
"25","Arma 3","2.43%","13:17","4.79%","111:57","11.95‱"
"26","DayZ","2.34%","08:17","9.1%","59:20","22.33‱"
"27","Rust","2.29%","10:09","7.01%","59:58","17.24‱"
"28","Insurgency","2.28%","04:24","4.84%","17:48","14.8‱"
"29","Warframe","2.26%","11:59","9.75%","72:21","31.58‱"
"30","TERA","2.21%","14:47","3.17%","20:23","11.19‱"
"31","War Thunder","2.17%","08:22","7.33%","46:49","24.51‱"
"32","The Witcher 3: Wild Hunt","2.1%","13:03","1.62%","40:29","4.29‱"
"33","Counter-Strike: Source","2.09%","04:35","19.68%","97:30","60.09‱"
"34","Cities: Skylines","1.87%","06:41","3.54%","21:38","8.97‱"
"35","BattleBlock Theater","1.84%","02:43","4.88%","05:54","15.07‱"
"36","Mount & Blade: Warband","1.75%","09:40","5.07%","93:47","14.13‱"
"37","Batman: Arkham Knight","1.56%","08:25","0.68%","08:25","2.44‱"
"38","Borderlands: The Pre-Sequel","1.51%","08:40","3.26%","35:39","8.82‱"
"39","Goat Simulator","1.5%","01:34","6.57%","06:01","17.45‱"
"40","XCOM: Enemy Unknown","1.44%","08:47","7.27%","42:06","21.63‱"
"41","Dishonored","1.43%","05:37","6.34%","15:31","19‱"
"42","Prison Architect","1.43%","06:05","4.19%","17:51","11.66‱"
"43","Age of Empires II: HD Edition","1.39%","05:12","5.15%","24:34","15.08‱"
"44","Call of Duty: World at War","1.39%","07:44","3.22%","37:12","8.7‱"
"45","Killing Floor 2","1.39%","03:35","1.98%","13:07","5.05‱"
"46","Robocraft","1.38%","07:31","7.98%","20:20","25.77‱"
"47","7 Days to Die","1.32%","08:09","3.94%","41:09","10.02‱"
"48","PlanetSide 2","1.31%","05:47","8.74%","39:18","27.45‱"
"49","Heroes & Generals","1.28%","04:40","7.55%","11:16","24.2‱"
