"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Dota 2","31.76%","20:23","51.18%","648:01","377.27‱"
"2","Counter-Strike: Global Offensive","18.25%","11:16","21.84%","130:28","164.43‱"
"3","Wallpaper Engine","15.65%","02:43","10.04%","07:50","74.97‱"
"4","Grand Theft Auto V","12.89%","13:02","16.56%","130:44","125.1‱"
"5","Left 4 Dead 2","6.93%","04:37","14.74%","34:26","118.42‱"
"6","H1Z1: King of the Kill","5.97%","13:35","4%","54:52","36.22‱"
"7","Don't Starve Together Beta","5.48%","05:10","12.04%","29:15","95.12‱"
"8","Tom Clancy's Rainbow Six Siege","4.46%","12:20","3.59%","78:07","27.99‱"
"9","Dead by Daylight","4.12%","09:34","5.76%","49:09","43.72‱"
"10","Lost Castle","2.7%","04:55","4%","19:58","30.05‱"
"11","The Witcher 3: Wild Hunt","2.39%","07:22","3.78%","40:08","31.64‱"
"12","Unturned","2.18%","04:42","10.25%","24:22","85.07‱"
"13","Tom Clancy's The Division","2.09%","10:29","3.36%","92:06","25.16‱"
"14","Don't Starve","2.04%","04:44","6%","23:12","50.98‱"
"15","Watch_Dogs® 2","1.75%","07:34","1.66%","23:37","12.58‱"
"16","The Binding of Isaac: Rebirth","1.75%","08:21","2.06%","80:45","15.72‱"
"17","PAYDAY 2","1.71%","04:36","5.08%","38:23","41.58‱"
"18","ARK: Survival Evolved","1.5%","15:35","2.94%","132:50","22.44‱"
"19","Warframe","1.47%","19:57","7.35%","61:16","84.06‱"
"20","Sid Meier’s Civilization® VI","1.45%","08:06","2.28%","35:22","17.08‱"
"21","Garry's Mod","1.37%","05:42","4.11%","25:52","33.23‱"
"22","H1Z1","1.29%","10:16","2.48%","54:48","18.99‱"
"23","Team Fortress 2","1.29%","06:37","11.47%","35:10","84.52‱"
"24","DARK SOULS III","1.28%","06:08","1.82%","63:08","14.02‱"
"25","ICEY","1.26%","02:04","1.91%","03:31","14.91‱"
"26","NBA 2K17","1.22%","17:18","0.79%","97:47","5.94‱"
"27","Euro Truck Simulator 2","1.2%","06:03","1.86%","45:32","14.13‱"
"28","Borderlands 2","1.14%","09:42","3.76%","36:06","30.71‱"
"29","RESIDENT EVIL 7 biohazard / BIOHAZARD 7 resident evil","1.12%","08:16","0.45%","08:16","3.69‱"
"30","Rise of the Tomb Raider","1.1%","02:33","3.15%","21:14","24.23‱"
"31","Terraria","1.09%","08:38","3.19%","34:37","25.04‱"
"32","BattleBlock Theater","1.07%","02:02","4.16%","09:48","32.26‱"
"33","Rust","1.07%","09:16","2.48%","84:46","19.18‱"
"34","Resident Evil 7 / Biohazard 7 Teaser: Beginning Hour","1.05%","01:09","1.26%","01:07","12.81‱"
"35","Sid Meier's Civilization V","1%","07:19","3.97%","46:32","31.41‱"
"36","Portal 2","0.95%","02:32","3.91%","08:48","39.33‱"
"37","Insurgency","0.93%","03:02","2.49%","10:01","21.24‱"
"38","7 Days to Die","0.91%","08:36","1.48%","65:12","11.38‱"
"39","H1Z1: King of the Kill Test Server","0.85%","00:49","0.96%","01:01","36.22‱"
"40","Astroneer Alpha","0.84%","03:47","1%","09:12","7.57‱"
"41","Fallout 4","0.82%","06:09","2.21%","50:10","18.05‱"
"42","Castle Crashers","0.76%","01:37","2.88%","06:33","22.48‱"
"43","Detention","0.76%","02:17","0.42%","02:41","3.65‱"
"44","War Thunder","0.74%","06:46","3.9%","48:22","45.93‱"
"45","Planet Coaster ®","0.71%","04:14","0.46%","08:17","3.57‱"
"46","Art of War: Red Tides","0.67%","03:00","0.82%","05:19","7.77‱"
"47","Move or Die","0.66%","01:58","0.83%","02:56","6.95‱"
"48","Cities: Skylines","0.64%","02:59","1.74%","26:30","14.37‱"
"49","Portal Knights","0.62%","04:20","2%","17:44","15.03‱"
"50","Killing Floor 2","0.59%","06:51","0.78%","28:05","6.1‱"
