"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","21.4%","12:37","27.12%","134:07","187.58‱"
"2","PLAYERUNKNOWN'S BATTLEGROUNDS","21.4%","23:06","12.18%","76:31","83.55‱"
"3","H1Z1: King of the Kill","20.49%","22:55","19.9%","119:58","139.21‱"
"4","Dota 2","20.13%","20:07","42.15%","631:00","287.05‱"
"5","Wallpaper Engine","10.9%","01:50","14.7%","13:16","101.02‱"
"6","Grand Theft Auto V","9.34%","11:00","16.24%","133:49","113.04‱"
"7","Left 4 Dead 2","6.32%","05:22","16.42%","33:13","126.08‱"
"8","Tom Clancy's Rainbow Six Siege","5.15%","13:38","5.1%","109:50","35.54‱"
"9","Don't Starve Together","2.99%","05:12","11.06%","30:56","81.19‱"
"10","Unturned","2.31%","05:44","9.74%","26:30","75.6‱"
"11","Warframe","1.82%","22:38","7.56%","75:03","80.27‱"
"12","Insurgency","1.77%","03:36","3.33%","09:45","26.8‱"
"13","Terraria","1.55%","12:29","3.9%","41:55","28.67‱"
"14","The Witcher 3: Wild Hunt","1.5%","10:29","4.14%","43:54","31.79‱"
"15","DARK SOULS III","1.44%","13:05","2.48%","75:11","18.17‱"
"16","Dead by Daylight","1.42%","09:39","5.36%","59:40","37.87‱"
"17","NBA 2K17","1.3%","12:04","1.12%","122:30","8.14‱"
"18","Stardew Valley","1.29%","09:47","2.94%","28:10","21.35‱"
"19","Euro Truck Simulator 2","1.25%","08:37","2.19%","37:38","15.92‱"
"20","PAYDAY 2: Ultimate Edition","1.17%","06:03","6.68%","31:26","65.81‱"
"21","Jotun: Valhalla Edition","1.16%","01:50","0.63%","01:56","14.24‱"
"22","BattleBlock Theater","1.14%","01:47","4.46%","08:54","32.42‱"
"23","The Binding of Isaac: Rebirth","1.14%","04:58","1.98%","96:56","14.19‱"
"24","Borderlands 2","1.09%","09:26","3.97%","34:31","29.62‱"
"25","H1Z1: King of the Kill Test Server","1.09%","00:22","5.96%","00:36","139.21‱"
"26","Portal 2","1.03%","01:47","4.41%","07:42","43.73‱"
"27","Garry's Mod","0.96%","04:57","3.66%","35:25","27.07‱"
"28","ARK: Survival Evolved","0.93%","21:19","2.99%","137:15","21.19‱"
"29","Lost Castle","0.93%","03:04","3.95%","21:06","27.37‱"
"30","Don't Starve","0.89%","06:45","5.23%","26:25","42.05‱"
"31","Tom Clancys The Division","0.83%","06:50","2.88%","96:07","19.99‱"
"32","Sid Meiers Civilization VI","0.75%","07:18","2.12%","50:23","14.68‱"
"33","Tom Clancy's Ghost Recon Wildlands","0.75%","07:21","1.42%","45:32","9.85‱"
"34","Team Fortress 2","0.75%","05:41","10.15%","18:16","69.09‱"
"35","Sid Meier's Civilization V","0.71%","08:00","3.39%","44:48","25.28‱"
"36","Material Girl","0.69%","01:25","1.11%","03:30","8.82‱"
"37","Cities: Skylines","0.62%","05:51","2.27%","28:23","16.57‱"
"38","Warface: Ice Breaker","0.58%","03:51","1.8%","08:12","20.13‱"
"39","Dead Cells","0.56%","03:25","0.97%","12:09","6.89‱"
"40","NEKOPARA Vol. 3","0.55%","04:29","0.93%","05:40","8.76‱"
"41","DOOM","0.55%","02:49","1.26%","06:33","9.77‱"
"42","NieR:Automata","0.55%","06:14","0.95%","27:19","6.86‱"
"43","Watch_Dogs 2","0.53%","03:33","1.61%","25:36","11.56‱"
"44","7 Days to Die","0.52%","17:26","1.8%","83:23","12.83‱"
"45","Fallout 4","0.51%","06:57","2.12%","45:43","16.38‱"
"46","NEKOPARA Vol. 1","0.51%","04:25","2.02%","06:45","17.55‱"
"47","Rise of the Tomb Raider","0.5%","05:43","3%","19:21","22.24‱"
"48","Rust","0.5%","14:03","2.08%","73:13","14.62‱"
"49","theHunter: Call of the Wild","0.48%","08:35","0.54%","13:15","3.91‱"
"50","War Thunder","0.45%","06:20","3.4%","36:25","37.54‱"
