"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Dota 2","46.75%","26:59","59.5%","620:43","561.03‱"
"2","Counter-Strike: Global Offensive","17.39%","13:11","20.57%","135:39","198.1‱"
"3","Grand Theft Auto V","10.82%","07:30","14.81%","124:43","143‱"
"4","Left 4 Dead 2","5.31%","05:19","12.03%","38:44","123.8‱"
"5","Don't Starve Together Beta","3.83%","07:53","8.09%","28:11","83.86‱"
"6","Unturned","2.68%","04:11","9.66%","25:48","104.61‱"
"7","The Witcher 3: Wild Hunt","2.51%","14:21","2.08%","37:56","23.23‱"
"8","Sid Meier's Civilization V","2.02%","09:48","3.12%","41:40","32.05‱"
"9","Team Fortress 2","1.85%","03:59","11.06%","33:01","104.26‱"
"10","Tom Clancy's The Division","1.75%","13:44","2.78%","97:20","26.46‱"
"11","H1Z1: King of the Kill","1.66%","17:16","1.74%","64:27","29.11‱"
"12","ARK: Survival Evolved","1.54%","31:41","1.85%","116:13","17.98‱"
"13","Tom Clancy's Rainbow Six Siege","1.53%","11:51","1.27%","77:30","12.33‱"
"14","Don't Starve","1.44%","08:39","4.39%","27:02","46.86‱"
"15","DARK SOULS III","1.44%","09:43","1.33%","55:22","12.85‱"
"16","Warframe","1.24%","18:52","5.95%","69:29","86.86‱"
"17","Insurgency","1.2%","03:06","1.77%","09:58","19.94‱"
"18","PAYDAY 2","1.17%","05:10","4.23%","52:00","43‱"
"19","Garry's Mod","1.14%","03:57","4.1%","27:02","41.15‱"
"20","Rise of the Tomb Raider","1%","02:58","2.21%","21:59","21.15‱"
"21","War Thunder","0.92%","04:45","3.67%","54:08","55.91‱"
"22","Fallout 4","0.9%","10:17","1.85%","69:33","17.87‱"
"23","Terraria","0.78%","04:00","2.9%","31:42","29.39‱"
"24","BattleBlock Theater","0.73%","03:11","3.08%","13:01","30.14‱"
"25","Total War: WARHAMMER","0.71%","21:07","0.26%","21:17","2.71‱"
"26","The Witcher 2: Assassins of Kings Enhanced Edition","0.71%","04:27","1.34%","07:32","21.38‱"
"27","Rust","0.7%","20:49","1.94%","69:56","19.31‱"
"28","Euro Truck Simulator 2","0.68%","06:08","1.19%","53:02","11.7‱"
"29","Clicker Heroes","0.68%","20:22","1.86%","61:46","22.36‱"
"30","Arma 3","0.59%","11:01","0.82%","152:20","7.84‱"
"31","Borderlands 2","0.58%","06:38","2.93%","31:45","30.2‱"
"32","NBA 2K16","0.56%","11:14","0.5%","123:01","4.73‱"
"33","The Elder Scrolls V: Skyrim","0.54%","03:46","2.43%","31:23","26.92‱"
"34","Counter-Strike: Source","0.51%","03:22","2.36%","126:51","49.05‱"
"35","Robocraft","0.49%","04:46","3.26%","12:32","41.38‱"
"36","HomeBehind","0.49%","04:58","0.18%","04:58","1.9‱"
"37","Worm.is: The Game","0.49%","00:43","0.35%","00:43","3.92‱"
"38","Mount & Blade: Warband","0.49%","10:20","1.16%","58:14","11.7‱"
"39","This War of Mine","0.47%","05:34","1.03%","10:03","11.18‱"
"40","Company of Heroes 2","0.47%","09:29","0.9%","129:35","9.11‱"
"41","The Witcher: Enhanced Edition","0.46%","07:40","1%","08:51","16.25‱"
"42","Stardew Valley","0.44%","06:22","0.97%","33:18","9.39‱"
"43","Besiege","0.42%","03:37","1.44%","09:32","14.52‱"
"44","Lost Castle","0.41%","02:49","1.23%","16:07","11.87‱"
"45","Portal 2","0.41%","01:03","2.94%","10:26","38.67‱"
"46","Hurtworld","0.41%","11:26","0.94%","61:20","8.88‱"
"47","DayZ","0.39%","07:40","1.3%","94:05","12.39‱"
