"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","24.15%","11:58","23.9%","127:27","169.67‱"
"2","Dota 2","24%","21:56","44.8%","635:47","312.72‱"
"3","H1Z1: King of the Kill","19.82%","22:40","15.78%","77:48","113.78‱"
"4","Wallpaper Engine","13.07%","02:04","13.73%","11:40","96.7‱"
"5","Grand Theft Auto V","9.93%","09:05","16.11%","133:22","114.68‱"
"6","PLAYERUNKNOWN'S BATTLEGROUNDS","6.39%","22:24","3.45%","39:03","24.69‱"
"7","Tom Clancy's Rainbow Six Siege","4.36%","11:31","4.3%","102:18","30.42‱"
"8","Left 4 Dead 2","3.92%","04:10","14.3%","34:30","108.67‱"
"9","Alien Swarm: Reactive Drop","2.63%","02:14","1.35%","02:19","12.31‱"
"10","Don't Starve Together","2.51%","06:02","11.16%","31:37","82.79‱"
"11","Tom Clancy's Ghost Recon Wildlands","1.68%","07:21","1.55%","42:02","11.1‱"
"12","Dead by Daylight","1.64%","06:43","5.63%","57:37","40.15‱"
"13","Terraria","1.59%","12:38","3.55%","39:43","25.97‱"
"14","DARK SOULS III","1.54%","11:02","2.13%","73:05","15.49‱"
"15","Warframe","1.51%","26:15","7.95%","68:59","83.79‱"
"16","H1Z1: King of the Kill Test Server","1.4%","00:30","4.32%","00:37","113.78‱"
"17","The Witcher 3: Wild Hunt","1.38%","07:59","3.58%","40:37","28.18‱"
"18","Tom Clancys The Division","1.22%","05:39","2.98%","87:13","23.44‱"
"19","Lost Castle","1.18%","04:59","3.98%","19:49","28.27‱"
"20","Stardew Valley","1.14%","07:20","1.81%","31:12","13.4‱"
"21","Unturned","1.14%","04:12","9.44%","29:42","75.56‱"
"22","NBA 2K17","1.12%","12:58","0.92%","147:26","6.55‱"
"23","NieR:Automata","1.09%","14:07","0.67%","21:35","4.74‱"
"24","ARK: Survival Evolved","1.08%","22:24","2.91%","104:41","21.13‱"
"25","The Binding of Isaac: Rebirth","1.01%","06:37","1.81%","123:39","12.87‱"
"26","Team Fortress 2","0.87%","03:45","10.73%","25:08","74.94‱"
"27","Don't Starve","0.87%","07:34","5.3%","26:17","42.02‱"
"28","BattleBlock Theater","0.83%","02:18","3.96%","09:34","29.15‱"
"29","H1Z1 : Just Survive","0.78%","19:02","2.64%","56:34","19.33‱"
"30","Euro Truck Simulator 2","0.77%","06:18","1.77%","44:20","12.94‱"
"31","Portal Knights","0.76%","05:22","2.28%","16:42","16.4‱"
"32","Sid Meiers Civilization VI","0.73%","09:53","2.2%","48:22","15.49‱"
"33","Insurgency","0.68%","03:18","2.69%","12:20","21.07‱"
"34","PAYDAY 2","0.67%","05:59","4.84%","40:20","37.19‱"
"35","ONRAID","0.65%","01:08","0.37%","01:10","3.4‱"
"36","Garry's Mod","0.62%","05:13","3.76%","27:03","27.96‱"
"37","Rise of the Tomb Raider","0.62%","03:14","2.88%","30:40","21.54‱"
"38","Borderlands 2","0.61%","13:43","3.76%","46:38","28.52‱"
"39","Fallout 4","0.57%","08:52","2.17%","60:45","16.15‱"
"40","Watch_Dogs 2","0.57%","03:59","1.63%","24:34","11.75‱"
"41","Fallout Shelter","0.56%","03:34","0.96%","04:16","12.31‱"
"42","Cities: Skylines","0.54%","06:21","1.98%","28:14","14.96‱"
"43","Stellaris","0.53%","16:11","0.72%","53:29","5.36‱"
"44","Outlast 2","0.53%","03:38","0.23%","03:38","1.84‱"
"45","7 Days to Die","0.52%","13:03","1.74%","65:20","12.78‱"
"46","The Long Dark","0.52%","04:36","1.02%","11:47","7.98‱"
"47","Arma 3","0.5%","19:43","0.82%","160:50","5.86‱"
"48","Beholder","0.49%","02:50","1.16%","03:51","9.2‱"
"49","Rust","0.49%","10:40","1.95%","73:29","14.15‱"
"50","War Thunder","0.48%","05:17","3.38%","44:24","38.34‱"
