"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","21.34%","16:00","24.08%","122:20","55.51‱"
"2","Garry's Mod","10.95%","08:00","30.5%","89:32","74.13‱"
"3","Cities: Skylines","7.2%","08:58","4.29%","15:57","9.72‱"
"4","The Elder Scrolls V: Skyrim","6.85%","06:55","26%","81:21","59.96‱"
"5","Sid Meier's Civilization V","6.68%","11:03","20.84%","94:15","48.62‱"
"6","PAYDAY 2","6.41%","08:39","11.82%","48:01","29.71‱"
"7","Football Manager 2015","6.2%","27:15","4.86%","195:03","10.76‱"
"8","Dota 2","5.32%","23:38","14.04%","266:34","31‱"
"9","Team Fortress 2","5.32%","07:59","26.43%","98:52","58.34‱"
"10","DayZ","4.41%","06:05","12.91%","58:08","28.71‱"
"11","Arma 3","4.36%","11:54","7.1%","91:17","15.83‱"
"12","War Thunder","3.66%","04:35","8.08%","34:58","23.39‱"
"13","Borderlands 2","3.53%","07:41","15.3%","53:27","36.19‱"
"14","Arma 2: Operation Arrowhead","2.97%","11:07","14.14%","59:47","34.16‱"
"15","Counter-Strike: Source","2.79%","04:58","24.7%","90:50","69.56‱"
"16","Warframe","2.79%","11:53","7.68%","60:09","22.02‱"
"17","Unturned","2.79%","03:48","15.4%","07:40","40.68‱"
"18","H1Z1","2.62%","08:02","2.94%","26:00","6.73‱"
"19","Euro Truck Simulator 2","2.62%","06:52","6.48%","40:56","16.75‱"
"20","The Binding of Isaac: Rebirth","2.62%","06:30","2.79%","50:16","6.36‱"
"21","Left 4 Dead 2","2.62%","03:21","26.83%","30:11","66.44‱"
"22","Terraria","2.49%","09:27","19.92%","47:46","47.29‱"
"23","Total War: ROME II - Emperor Edition","2.44%","12:28","7.62%","77:15","18.12‱"
"24","Mount & Blade: Warband","2.27%","06:56","6.68%","106:45","16.25‱"
"25","Heroes & Generals","2.18%","03:17","8.26%","07:02","23.6‱"
"26","Robocraft","2.05%","06:49","8.57%","19:11","23.89‱"
"27","Killing Floor","2.05%","02:03","11.16%","32:55","32.12‱"
"28","Pillars of Eternity","2.01%","13:33","0.87%","13:33","2.16‱"
"29","Fallout: New Vegas","1.92%","04:20","11.86%","42:56","30.46‱"
"30","Besiege","1.88%","01:24","3.82%","04:27","8.98‱"
"31","Dying Light","1.79%","08:04","2.35%","25:45","5.28‱"
"32","Borderlands: The Pre-Sequel","1.75%","12:42","3.29%","30:33","8.19‱"
"33","XCOM: Enemy Unknown","1.7%","04:44","9.64%","41:16","25.39‱"
"34","Insurgency","1.66%","03:13","5.63%","10:44","15.33‱"
"35","Kerbal Space Program","1.61%","03:41","6.29%","38:54","14.25‱"
"36","Portal 2","1.57%","02:15","20.16%","17:13","50.15‱"
"37","Rust","1.48%","10:42","6.68%","43:17","15.5‱"
"38","Hotline Miami","1.44%","01:43","7.04%","05:16","18.37‱"
"39","Age of Empires II: HD Edition","1.4%","03:11","7.44%","18:15","18.57‱"
"40","Call of Duty: Advanced Warfare - Multiplayer","1.4%","05:15","2.54%","24:09","7.94‱"
"41","Half-Life 2: Update","1.35%","02:20","0.58%","02:20","2.74‱"
"42","Hotline Miami 2: Wrong Number","1.35%","03:34","0.96%","08:53","2.33‱"
"43","7 Days to Die","1.35%","04:20","3.35%","32:31","7.81‱"
"44","Chivalry: Medieval Warfare","1.31%","02:08","9.47%","15:49","22.81‱"
"45","Prison Architect","1.31%","05:51","7.32%","19:46","17.78‱"
"46","Borderlands","1.31%","05:13","8.49%","28:38","20.57‱"
"47","Dark Souls: Prepare to Die Edition","1.27%","05:53","6.25%","31:05","15.96‱"
"48","BioShock Infinite","1.27%","02:47","10.11%","14:22","28.63‱"
"49","Grand Theft Auto IV","1.22%","02:12","11.13%","23:32","29.46‱"
"50","Just Cause 2","1.22%","01:47","11.75%","16:11","33.12‱"
