"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","22.69%","12:11","33.96%","344:53","65.16‱"
"2","PLAYERUNKNOWN'S BATTLEGROUNDS","19.78%","13:28","11.22%","88:01","21.28‱"
"3","Rocket League","6.56%","07:43","11.94%","92:01","23.5‱"
"4","Dota 2","6.1%","19:12","25.73%","328:01","48.07‱"
"5","Garry's Mod","5.31%","09:27","29.18%","117:33","57.88‱"
"6","Grand Theft Auto V","5.04%","06:41","12.74%","108:07","24.28‱"
"7","Team Fortress 2","3.93%","06:21","43.44%","97:31","81.17‱"
"8","Tom Clancy's Rainbow Six Siege","3.56%","07:55","4.29%","84:04","8.27‱"
"9","Sid Meier's Civilization V","3.3%","07:01","18.45%","126:23","36.33‱"
"10","Divinity: Original Sin 2","3.28%","22:50","1.53%","40:32","3‱"
"11","Total War: WARHAMMER II","3.05%","25:08","1.13%","25:08","2.26‱"
"12","Arma 3","2.75%","15:19","9.38%","179:58","17.9‱"
"13","Rust","2.66%","14:20","10.89%","99:28","21.66‱"
"14","Fallout 4","2.56%","10:30","10.97%","94:49","21.26‱"
"15","Football Manager 2017","2.5%","22:34","3.31%","319:39","6.3‱"
"16","Total War: WARHAMMER","2.36%","06:53","4.83%","75:32","9.79‱"
"17","The Elder Scrolls V: Skyrim","2.24%","05:52","22.24%","99:22","43.48‱"
"18","Terraria","2.2%","07:15","16.95%","67:09","33.09‱"
"19","ARK: Survival Evolved","2.17%","16:35","8.64%","117:57","16.88‱"
"20","Wallpaper Engine","2.15%","02:49","2.76%","15:38","5.23‱"
"21","H1Z1: King of the Kill","2.15%","06:26","6.45%","57:05","15.33‱"
"22","Warframe","2.13%","14:03","12.23%","71:11","30.38‱"
"23","Euro Truck Simulator 2","2.06%","06:56","8.71%","55:30","17.84‱"
"24","Paladins","1.99%","05:45","7.45%","17:33","15.92‱"
"25","War Thunder","1.99%","11:05","11.59%","63:23","28.58‱"
"26","Cuphead","1.94%","04:34","0.72%","04:34","1.48‱"
"27","Hearts of Iron IV","1.94%","11:49","1.98%","124:12","3.87‱"
"28","The Elder Scrolls V: Skyrim Special Edition","1.94%","07:21","6.64%","28:53","23.99‱"
"29","Stellaris","1.94%","14:08","2.95%","78:58","6.17‱"
"30","PAYDAY 2: Ultimate Edition","1.85%","05:06","16.48%","47:38","37.71‱"
"31","Cities: Skylines","1.71%","03:35","9.09%","35:10","17.61‱"
"32","Star Wars: Battlefront 2 (Classic, 2005)","1.64%","00:51","7.26%","08:51","16.43‱"
"33","Golf With Your Friends","1.64%","01:43","4.5%","08:00","8.77‱"
"34","The Witcher 3: Wild Hunt","1.48%","07:22","5.55%","58:39","11.6‱"
"35","Middle-earth: Shadow of Mordor","1.48%","06:04","8.1%","19:37","17.88‱"
"36","Left 4 Dead 2","1.46%","02:54","23.45%","35:46","49.7‱"
"37","Unturned","1.46%","02:40","19.96%","20:21","43.36‱"
"38","Europa Universalis IV","1.43%","11:34","2.74%","228:25","5.47‱"
"39","Borderlands 2","1.41%","06:43","14.29%","51:31","28.84‱"
"40","Mount & Blade: Warband","1.39%","07:23","6.52%","110:32","13.2‱"
"41","Total War: ROME II - Emperor Edition","1.34%","09:13","6.77%","109:21","13.37‱"
"42","XCOM 2","1.32%","10:42","4.33%","58:22","8.97‱"
"43","Dead by Daylight","1.22%","05:39","2.42%","39:33","5.07‱"
"44","Call of Duty: Black Ops III","1.18%","02:31","3.58%","67:14","6.92‱"
"45","The Binding of Isaac: Rebirth","1.18%","07:04","3.45%","87:39","6.65‱"
"46","Insurgency","1.18%","03:23","7.33%","16:13","16.9‱"
"47","7 Days to Die","1.16%","13:25","4.37%","59:55","8.45‱"
"48","Path of Exile","1.13%","19:55","7.41%","58:42","17.92‱"
"49","Outlast","1.11%","01:07","3.46%","03:50","12.03‱"
"50","DOOM","1.11%","01:18","5.57%","13:16","11.09‱"
