"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","24.4%","14:06","34.22%","295:15","66.78‱"
"2","Rocket League","8.03%","06:36","11.7%","68:19","23.12‱"
"3","Dota 2","7.07%","20:11","26.86%","311:32","51.06‱"
"4","Grand Theft Auto V","6.23%","08:15","12.07%","95:13","23.43‱"
"5","Garry's Mod","6.06%","08:56","30.15%","112:22","61.42‱"
"6","Rust","4.14%","14:19","10.63%","87:22","21.48‱"
"7","H1Z1: King of the Kill","4.1%","09:50","4.81%","36:15","13.87‱"
"8","Football Manager 2017","4.08%","29:28","2.39%","142:08","4.63‱"
"9","Team Fortress 2","4.02%","09:48","46.13%","95:13","87.71‱"
"10","Arma 3","3.79%","13:58","8.65%","175:30","16.66‱"
"11","Sid Meier's Civilization V","3.41%","07:28","20.05%","117:30","40.12‱"
"12","The Elder Scrolls V: Skyrim","3.15%","07:47","24.97%","96:48","49.73‱"
"13","Terraria","3.07%","07:51","18.36%","70:30","36.87‱"
"14","Fallout 4","3.05%","11:40","10.82%","96:24","21.13‱"
"15","Tom Clancy's Rainbow Six Siege","2.92%","10:44","2.97%","61:28","6.1‱"
"16","The Binding of Isaac: Rebirth","2.8%","07:48","3.69%","90:59","7.2‱"
"17","ARK: Survival Evolved","2.54%","15:05","7.96%","106:23","15.93‱"
"18","Unturned","2.23%","07:41","19.64%","18:46","43.8‱"
"19","Left 4 Dead 2","2.19%","03:35","25.1%","34:20","52.98‱"
"20","XCOM 2","2.19%","12:26","3.86%","49:00","8.34‱"
"21","The Elder Scrolls V: Skyrim Special Edition","2.15%","09:02","5.81%","17:16","26.55‱"
"22","War Thunder","2.02%","13:16","10.81%","64:50","27.72‱"
"23","Euro Truck Simulator 2","2%","08:08","8.42%","52:46","17.53‱"
"24","Paladins","1.96%","06:33","5.11%","10:22","11.28‱"
"25","DayZ","1.93%","05:51","10.72%","81:37","20.58‱"
"26","Sid Meier’s Civilization® VI","1.91%","06:53","2.82%","38:52","5.46‱"
"27","Warframe","1.87%","19:11","11.28%","73:49","28.89‱"
"28","Total War: WARHAMMER","1.83%","06:58","3.72%","68:09","7.2‱"
"29","Mount & Blade: Warband","1.83%","08:37","6.86%","123:11","14.05‱"
"30","The Forest","1.7%","03:52","6.06%","16:17","12.14‱"
"31","PAYDAY 2","1.68%","06:33","13.47%","58:10","27.99‱"
"32","The Witcher 3: Wild Hunt","1.68%","08:42","4.73%","54:17","10.37‱"
"33","Golf With Friends","1.66%","01:24","2.82%","06:08","5.64‱"
"34","Borderlands 2","1.62%","05:15","13.72%","62:50","28.6‱"
"35","Stardew Valley","1.6%","09:47","4.37%","36:25","9.1‱"
"36","Elite: Dangerous","1.37%","12:14","3.86%","67:42","7.93‱"
"37","Hearts of Iron IV","1.37%","13:04","1.39%","97:04","2.65‱"
"38","Europa Universalis IV","1.35%","13:55","2.86%","171:05","6‱"
"39","SMITE","1.35%","10:30","5.83%","53:54","14.47‱"
"40","Planet Coaster ®","1.28%","06:19","2.11%","22:33","4.15‱"
"41","Cities: Skylines","1.28%","05:18","8.73%","29:23","17.27‱"
"42","Total War: ROME II - Emperor Edition","1.26%","11:13","6.91%","105:03","13.74‱"
"43","Killing Floor 2","1.26%","05:11","2.93%","24:30","5.71‱"
"44","DOOM","1.24%","02:54","4.29%","14:13","8.73‱"
"45","Space Engineers","1.22%","07:40","6.46%","44:21","13.59‱"
"46","Dead by Daylight","1.22%","06:16","2.17%","33:57","4.42‱"
"47","Age of Empires II: HD Edition","1.2%","06:23","7.68%","30:10","16.24‱"
"48","Brawlhalla","1.2%","03:04","4.97%","21:24","10.49‱"
"49","Resident Evil 7 / Biohazard 7 Teaser: Beginning Hour","1.14%","00:33","1.07%","00:54","2.47‱"
"50","Kerbal Space Program","1.14%","07:55","5.83%","55:13","11.51‱"
