"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","29.1%","12:58","29.24%","247:28","112.25‱"
"2","Rocket League","9.28%","06:11","7.81%","56:49","30.24‱"
"3","Garry's Mod","8.52%","12:37","16.81%","125:19","66.86‱"
"4","Dota 2","4.78%","22:01","18.63%","181:42","70.56‱"
"5","Team Fortress 2","4.51%","04:35","33.69%","75:26","127.57‱"
"6","Arma 3","4.08%","17:17","7.15%","224:30","27.19‱"
"7","ARK: Survival Evolved","3.79%","20:59","6.19%","112:25","23.91‱"
"8","Rust","3.64%","11:48","6.62%","103:50","25.62‱"
"9","The Elder Scrolls V: Skyrim","3.46%","08:51","14.06%","108:20","55.18‱"
"10","Total War: WARHAMMER","3.17%","25:48","1.11%","25:47","4.35‱"
"11","Brawlhalla","3.04%","02:47","5.45%","10:32","22.34‱"
"12","Grand Theft Auto V","2.97%","06:13","4%","94:07","15.36‱"
"13","Unturned","2.95%","09:31","17.98%","20:47","77.84‱"
"14","Sid Meier's Civilization V","2.92%","10:17","7.95%","107:08","31.78‱"
"15","Counter-Strike: Source","2.86%","06:58","23.58%","248:52","98.88‱"
"16","Clicker Heroes","2.72%","18:07","6.7%","110:01","29.62‱"
"17","Fallout 4","2.3%","09:28","3.6%","77:57","13.79‱"
"18","Warframe","2.28%","10:42","9.19%","61:23","46.69‱"
"19","Call of Duty: Black Ops III","2.1%","08:26","2.32%","79:57","8.96‱"
"20","PAYDAY 2","2.08%","05:28","10.02%","52:06","39.73‱"
"21","DayZ","1.92%","07:00","6.79%","95:14","25.74‱"
"22","War Thunder","1.9%","09:24","6.69%","50:34","35.44‱"
"23","Euro Truck Simulator 2","1.83%","05:24","4.12%","61:02","16.6‱"
"24","Left 4 Dead 2","1.76%","04:14","15.77%","56:43","66.27‱"
"25","Terraria","1.61%","07:14","6.12%","59:12","24.88‱"
"26","The Witcher 3: Wild Hunt","1.61%","12:24","1.94%","62:03","8.17‱"
"27","DOOM","1.56%","07:51","0.71%","13:24","2.78‱"
"28","DARK SOULS III","1.54%","09:32","1.21%","49:48","4.64‱"
"29","Borderlands 2","1.54%","07:41","9.13%","63:22","36.63‱"
"30","SMITE","1.52%","07:46","3.59%","23:27","19.11‱"
"31","Trove","1.5%","04:36","7.8%","21:23","34.94‱"
"32","Football Manager 2016","1.45%","29:29","0.92%","280:40","3.55‱"
"33","Heroes & Generals","1.36%","04:08","8.16%","15:06","38.91‱"
"34","Robocraft","1.32%","04:10","11.6%","21:04","52.87‱"
"35","Total War: ROME II - Emperor Edition","1.21%","09:46","3.13%","114:28","12.54‱"
"36","Call of Duty: Black Ops II - Multiplayer","1.21%","05:55","4.83%","124:01","19.17‱"
"37","H1Z1: King of the Kill","1.18%","10:22","1.59%","32:20","15.41‱"
"38","The Forest","1.16%","03:21","3.84%","16:52","15.15‱"
"39","AdVenture Capitalist","1.12%","03:41","3.61%","39:21","16.09‱"
"40","Age of Empires II: HD Edition","1.09%","03:00","4.23%","26:13","17.22‱"
"41","BLOCKADE 3D","1.05%","01:13","7.65%","11:49","34.05‱"
"42","Don't Starve Together Beta","1.05%","04:19","3.63%","17:40","21.39‱"
"43","Tom Clancy's Rainbow Six Siege","0.98%","12:08","0.77%","86:21","2.99‱"
"44","Insurgency","0.96%","03:35","2.55%","17:32","11.92‱"
"45","Chivalry: Medieval Warfare","0.96%","04:19","7.18%","27:19","29.26‱"
"46","One Troll Army","0.96%","01:59","0.34%","02:00","1.45‱"
"47","PlanetSide 2","0.94%","04:49","6.97%","24:13","36.42‱"
