"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","30.17%","16:37","24.78%","202:16","110.58‱"
"2","Garry's Mod","9.46%","11:52","14.55%","88:26","67.12‱"
"3","ARK: Survival Evolved","6.58%","28:46","3.81%","57:27","17.11‱"
"4","Team Fortress 2","6.3%","07:16","34.66%","83:48","152.03‱"
"5","Clicker Heroes","5.72%","24:01","3.77%","64:35","19.33‱"
"6","Unturned","5.28%","04:18","14.47%","12:44","73.88‱"
"7","Dota 2","4.86%","22:51","19.31%","152:55","84.7‱"
"8","The Elder Scrolls V: Skyrim","4.55%","07:56","14.27%","106:53","65.6‱"
"9","Counter-Strike: Source","4.34%","06:56","27.14%","275:14","130.56‱"
"10","Terraria","4.2%","18:14","6.15%","50:36","28.63‱"
"11","Arma 3","4.01%","15:56","6.44%","175:36","28.43‱"
"12","Grand Theft Auto V","3.98%","09:56","3.46%","74:17","15.5‱"
"13","BLOCKADE 3D","3.81%","02:55","5.7%","08:38","29.19‱"
"14","PAYDAY 2","3.7%","08:07","9.56%","54:35","43.87‱"
"15","Trove","3.48%","07:29","1.27%","07:28","6.43‱"
"16","Left 4 Dead 2","2.93%","04:04","17.72%","51:38","86.37‱"
"17","DayZ","2.8%","06:47","7.1%","65:24","31.41‱"
"18","Rust","2.79%","14:13","4.83%","71:32","21.23‱"
"19","AdVenture Capitalist","2.71%","10:46","2.04%","30:17","11.67‱"
"20","Borderlands 2","2.68%","07:53","9.28%","64:11","43.31‱"
"21","Dirty Bomb","2.68%","04:09","2.64%","05:59","15.73‱"
"22","Robocraft","2.58%","03:37","10.13%","20:33","53.93‱"
"23","Chivalry: Medieval Warfare","2.31%","03:10","6.8%","19:39","31.67‱"
"24","War Thunder","2.13%","05:38","5.6%","41:11","35.1‱"
"25","Sid Meier's Civilization V","2.09%","11:12","6.92%","145:20","31.88‱"
"26","Euro Truck Simulator 2","1.85%","08:32","3.25%","49:34","15.62‱"
"27","The Binding of Isaac: Rebirth","1.81%","05:24","2.02%","70:25","9.1‱"
"28","Warframe","1.8%","11:52","7.34%","66:00","42.5‱"
"29","Heroes & Generals","1.48%","04:45","6.39%","12:31","36.7‱"
"30","Call of Duty: Black Ops II - Multiplayer","1.45%","04:10","4.98%","126:28","23.05‱"
"31","Path of Exile","1.43%","06:20","3.61%","33:39","21.91‱"
"32","PlanetSide 2","1.41%","05:28","6%","34:28","34.77‱"
"33","The Witcher 3: Wild Hunt","1.41%","12:14","1.13%","51:24","5.26‱"
"34","H1Z1","1.37%","07:20","2.93%","46:05","12.99‱"
"35","Echo of Soul","1.34%","07:05","0.7%","06:09","4.18‱"
"36","Football Manager 2015","1.3%","32:53","0.96%","279:31","4.97‱"
"37","Total War: ROME II - Emperor Edition","1.28%","12:08","3.04%","99:45","27.55‱"
"38","Pirates, Vikings, & Knights II","1.26%","02:15","0.64%","05:17","4.47‱"
"39","Counter-Strike","1.26%","08:06","15.82%","120:39","89.06‱"
"40","Toribash","1.25%","01:50","3.96%","04:09","20.44‱"
"41","Portal 2","1.25%","02:56","8.42%","18:18","41.79‱"
"42","Game Dev Tycoon","1.15%","03:51","2.33%","12:05","10.44‱"
"43","Batman: Arkham Knight","1.14%","09:33","0.63%","12:40","3.6‱"
"44","Fallout: New Vegas","1.12%","07:24","3.82%","49:01","20‱"
"45","Cities: Skylines","1.08%","09:38","2.05%","22:42","9.18‱"
"46","Don't Starve Together Beta","1.04%","05:11","2.7%","13:33","24.66‱"
"47","The Forest","1.01%","02:05","2.93%","10:40","13.1‱"
"48","Project CARS","0.99%","04:40","0.78%","28:47","3.45‱"
"49","Mount & Blade: Warband","0.97%","06:13","2.63%","121:28","12.46‱"
"50","Warface","0.97%","06:04","4.67%","13:07","29.74‱"
